item,context,determiner,premise,hypothesis
8,whole,unos,Unos gremios no quieren dialogar.,Cuatro de cuatro gremios no quieren dialogar.
9,sub,algunos,Algunos ejemplos exponen el cuadro.,Tres de cuatro ejemplos exponen el cuadro.
9,sub,unos,Unos ejemplos exponen el cuadro.,Tres de cuatro ejemplos exponen el cuadro.
9,whole,algunos,Algunos ejemplos exponen el cuadro.,Cuatro de cuatro ejemplos exponen el cuadro.
9,whole,unos,Unos ejemplos exponen el cuadro.,Cuatro de cuatro ejemplos exponen el cuadro.
10,sub,algunos,Algunos dispositivos brillan en la oscuridad.,Tres de cuatro dispositivos brillan en la oscuridad.
10,sub,unos,Unos dispositivos brillan en la oscuridad.,Tres de cuatro dispositivos brillan en la oscuridad.
10,whole,algunos,Algunos dispositivos brillan en la oscuridad.,Cuatro de cuatro dispositivos brillan en la oscuridad.
10,whole,unos,Unos dispositivos brillan en la oscuridad.,Cuatro de cuatro dispositivos brillan en la oscuridad.
11,sub,algunos,Algunos diplomáticos occidentales participaron.,Tres de cuatro diplomáticos occidentales participaron.
11,sub,unos,Unos diplomáticos occidentales participaron.,Tres de cuatro diplomáticos occidentales participaron.
11,whole,algunos,Algunos diplomáticos occidentales participaron.,Cuatro de cuatro diplomáticos occidentales participaron.
11,whole,unos,Unos diplomáticos occidentales participaron.,Cuatro de cuatro diplomáticos occidentales participaron.
12,sub,algunos,Algunos ciudadanos suben a mirar más alto.,Tres de cuatro ciudadanos suben a mirar más alto.
12,sub,unos,Unos ciudadanos suben a mirar más alto.,Tres de cuatro ciudadanos suben a mirar más alto.
12,whole,algunos,Algunos ciudadanos suben a mirar más alto.,Cuatro de cuatro ciudadanos suben a mirar más alto.
12,whole,unos,Unos ciudadanos suben a mirar más alto.,Cuatro de cuatro ciudadanos suben a mirar más alto.
13,sub,algunos,Algunos chicos terminaron lastimados.,Tres de cuatro chicos terminaron lastimados.
13,sub,unos,Unos chicos terminaron lastimados.,Tres de cuatro chicos terminaron lastimados.
13,whole,algunos,Algunos chicos terminaron lastimados.,Cuatro de cuatro chicos terminaron lastimados.
13,whole,unos,Unos chicos terminaron lastimados.,Cuatro de cuatro chicos terminaron lastimados.
14,sub,algunos,Algunos campamentos prometen disciplina militar.,Tres de cuatro campamentos prometen disciplina militar.
14,sub,unos,Unos campamentos prometen disciplina militar.,Tres de cuatro campamentos prometen disciplina militar.
14,whole,algunos,Algunos campamentos prometen disciplina militar.,Cuatro de cuatro campamentos prometen disciplina militar.
14,whole,unos,Unos campamentos prometen disciplina militar.,Cuatro de cuatro campamentos prometen disciplina militar.
15,sub,algunos,Algunos agentes de policía resultaron lesionados.,Tres de cuatro agentes de policía resultaron lesionados.
15,sub,unos,Unos agentes de policía resultaron lesionados.,Tres de cuatro agentes de policía resultaron lesionados.
15,whole,algunos,Algunos agentes de policía resultaron lesionados.,Cuatro de cuatro agentes de policía resultaron lesionados.
15,whole,unos,Unos agentes de policía resultaron lesionados.,Cuatro de cuatro agentes de policía resultaron lesionados.
16,sub,algunos,Algunos dirigentes sindicales quieren vivir en el anarquismo.,Tres de cuatro dirigentes sindicales quieren vivir en el anarquismo.
16,sub,unos,Unos dirigentes sindicales quieren vivir en el anarquismo.,Tres de cuatro dirigentes sindicales quieren vivir en el anarquismo.
16,whole,algunos,Algunos dirigentes sindicales quieren vivir en el anarquismo.,Cuatro de cuatro dirigentes sindicales quieren vivir en el anarquismo.
16,whole,unos,Unos dirigentes sindicales quieren vivir en el anarquismo.,Cuatro de cuatro dirigentes sindicales quieren vivir en el anarquismo.
17,sub,algunos,Algunos sectores del instituto fueron remodelados.,Tres de cuatro sectores del instituto fueron remodelados.
17,sub,unos,Unos sectores del instituto fueron remodelados.,Tres de cuatro sectores del instituto fueron remodelados.
17,whole,algunos,Algunos sectores del instituto fueron remodelados.,Cuatro de cuatro sectores del instituto fueron remodelados.
17,whole,unos,Unos sectores del instituto fueron remodelados.,Cuatro de cuatro sectores del instituto fueron remodelados.
18,sub,algunos,Algunos políticos dijeron que todos estaban comprados.,Tres de cuatro políticos dijeron que todos estaban comprados.
18,sub,unos,Unos políticos dijeron que todos estaban comprados.,Tres de cuatro políticos dijeron que todos estaban comprados.
18,whole,algunos,Algunos políticos dijeron que todos estaban comprados.,Cuatro de cuatro políticos dijeron que todos estaban comprados.
18,whole,unos,Unos políticos dijeron que todos estaban comprados.,Cuatro de cuatro políticos dijeron que todos estaban comprados.
19,sub,algunos,Algunos legisladores han adoptado una postura similar.,Tres de cuatro legisladores han adoptado una postura similar.
19,sub,unos,Unos legisladores han adoptado una postura similar.,Tres de cuatro legisladores han adoptado una postura similar.
19,whole,algunos,Algunos legisladores han adoptado una postura similar.,Cuatro de cuatro legisladores han adoptado una postura similar.
19,whole,unos,Unos legisladores han adoptado una postura similar.,Cuatro de cuatro legisladores han adoptado una postura similar.
20,sub,algunos,Algunos ex jugadores británicos criticaron a Marcelo.,Tres de cuatro ex jugadores británicos criticaron a Marcelo.
20,sub,unos,Unos ex jugadores británicos criticaron a Marcelo.,Tres de cuatro ex jugadores británicos criticaron a Marcelo.
20,whole,algunos,Algunos ex jugadores británicos criticaron a Marcelo.,Cuatro de cuatro ex jugadores británicos criticaron a Marcelo.
20,whole,unos,Unos ex jugadores británicos criticaron a Marcelo.,Cuatro de cuatro ex jugadores británicos criticaron a Marcelo.
21,sub,algunos,Algunos establecimientos ofrecen financiar las compras.,Tres de cuatro establecimientos ofrecen financiar las compras.
21,sub,unos,Unos establecimientos ofrecen financiar las compras.,Tres de cuatro establecimientos ofrecen financiar las compras.
21,whole,algunos,Algunos establecimientos ofrecen financiar las compras.,Cuatro de cuatro establecimientos ofrecen financiar las compras.
21,whole,unos,Unos establecimientos ofrecen financiar las compras.,Cuatro de cuatro establecimientos ofrecen financiar las compras.
22,sub,algunos,Algunos concejales prefieren seguir tal como están.,Tres de cuatro concejales prefieren seguir tal como están.
22,sub,unos,Unos concejales prefieren seguir tal como están.,Tres de cuatro concejales prefieren seguir tal como están.
22,whole,algunos,Algunos concejales prefieren seguir tal como están.,Cuatro de cuatro concejales prefieren seguir tal como están.
22,whole,unos,Unos concejales prefieren seguir tal como están.,Cuatro de cuatro concejales prefieren seguir tal como están.
23,sub,algunos,Algunos aviones tienen una tecnología prácticamente olímpica,Tres de cuatro aviones tienen una tecnología prácticamente olímpica
23,sub,unos,Unos aviones tienen una tecnología prácticamente olímpica,Tres de cuatro aviones tienen una tecnología prácticamente olímpica
23,whole,algunos,Algunos aviones tienen una tecnología prácticamente olímpica,Cuatro de cuatro aviones tienen una tecnología prácticamente olímpica
23,whole,unos,Unos aviones tienen una tecnología prácticamente olímpica,Cuatro de cuatro aviones tienen una tecnología prácticamente olímpica
24,sub,algunos,Algunos agentes cumplen penas de cárcel.,Tres de cuatro agentes cumplen penas de cárcel.
24,sub,unos,Unos agentes cumplen penas de cárcel.,Tres de cuatro agentes cumplen penas de cárcel.
24,whole,algunos,Algunos agentes cumplen penas de cárcel.,Cuatro de cuatro agentes cumplen penas de cárcel.
24,whole,unos,Unos agentes cumplen penas de cárcel.,Cuatro de cuatro agentes cumplen penas de cárcel.
25,sub,algunos,Algunos aficionados evidenciaron su enfado.,Tres de cuatro aficionados evidenciaron su enfado.
25,sub,unos,Unos aficionados evidenciaron su enfado.,Tres de cuatro aficionados evidenciaron su enfado.
25,whole,algunos,Algunos aficionados evidenciaron su enfado.,Cuatro de cuatro aficionados evidenciaron su enfado.
25,whole,unos,Unos aficionados evidenciaron su enfado.,Cuatro de cuatro aficionados evidenciaron su enfado.
26,sub,algunos,Algunos acusados murieron durante el proceso.,Tres de cuatro acusados murieron durante el proceso.
26,sub,unos,Unos acusados murieron durante el proceso.,Tres de cuatro acusados murieron durante el proceso.
26,whole,algunos,Algunos acusados murieron durante el proceso.,Cuatro de cuatro acusados murieron durante el proceso.
26,whole,unos,Unos acusados murieron durante el proceso.,Cuatro de cuatro acusados murieron durante el proceso.
27,sub,algunos,Algunos trabajadores comienzan la huelga general en Lisboa.,Tres de cuatro trabajadores comienzan la huelga general en Lisboa.
27,sub,unos,Unos trabajadores comienzan la huelga general en Lisboa.,Tres de cuatro trabajadores comienzan la huelga general en Lisboa.
27,whole,algunos,Algunos trabajadores comienzan la huelga general en Lisboa.,Cuatro de cuatro trabajadores comienzan la huelga general en Lisboa.
27,whole,unos,Unos trabajadores comienzan la huelga general en Lisboa.,Cuatro de cuatro trabajadores comienzan la huelga general en Lisboa.
28,sub,algunos,Algunos platos están apilados cuidadosamente en los estantes.,Tres de cuatro platos están apilados cuidadosamente en los estantes.
28,sub,unos,Unos platos están apilados cuidadosamente en los estantes.,Tres de cuatro platos están apilados cuidadosamente en los estantes.
28,whole,algunos,Algunos platos están apilados cuidadosamente en los estantes.,Cuatro de cuatro platos están apilados cuidadosamente en los estantes.
28,whole,unos,Unos platos están apilados cuidadosamente en los estantes.,Cuatro de cuatro platos están apilados cuidadosamente en los estantes.
29,sub,algunos,Algunos jugadores acudieron a Coapa a recoger pertenencias.,Tres de cuatro jugadores acudieron a Coapa a recoger pertenencias.
29,sub,unos,Unos jugadores acudieron a Coapa a recoger pertenencias.,Tres de cuatro jugadores acudieron a Coapa a recoger pertenencias.
29,whole,algunos,Algunos jugadores acudieron a Coapa a recoger pertenencias.,Cuatro de cuatro jugadores acudieron a Coapa a recoger pertenencias.
29,whole,unos,Unos jugadores acudieron a Coapa a recoger pertenencias.,Cuatro de cuatro jugadores acudieron a Coapa a recoger pertenencias.
30,sub,algunos,Algunos hombres sólo queremos ver el mundo arder.,Tres de cuatro hombres sólo queremos ver el mundo arder.
30,sub,unos,Unos hombres sólo queremos ver el mundo arder.,Tres de cuatro hombres sólo queremos ver el mundo arder.
30,whole,algunos,Algunos hombres sólo queremos ver el mundo arder.,Cuatro de cuatro hombres sólo queremos ver el mundo arder.
30,whole,unos,Unos hombres sólo queremos ver el mundo arder.,Cuatro de cuatro hombres sólo queremos ver el mundo arder.
31,sub,algunos,Algunos pisos rojos tienen tapiadas las ventanas.,Tres de cuatro pisos rojos tienen tapiadas las ventanas.
31,sub,unos,Unos pisos rojos tienen tapiadas las ventanas.,Tres de cuatro pisos rojos tienen tapiadas las ventanas.
31,whole,algunos,Algunos pisos rojos tienen tapiadas las ventanas.,Cuatro de cuatro pisos rojos tienen tapiadas las ventanas.
31,whole,unos,Unos pisos rojos tienen tapiadas las ventanas.,Cuatro de cuatro pisos rojos tienen tapiadas las ventanas.
32,sub,algunos,Algunos expertos criticaron severamente los experimentos.,Tres de cuatro expertos criticaron severamente los experimentos.
32,sub,unos,Unos expertos criticaron severamente los experimentos.,Tres de cuatro expertos criticaron severamente los experimentos.
32,whole,algunos,Algunos expertos criticaron severamente los experimentos.,Cuatro de cuatro expertos criticaron severamente los experimentos.
32,whole,unos,Unos expertos criticaron severamente los experimentos.,Cuatro de cuatro expertos criticaron severamente los experimentos.
33,sub,algunos,Algunos deportistas lo tienen claro.,Tres de cuatro deportistas lo tienen claro.
33,sub,unos,Unos deportistas lo tienen claro.,Tres de cuatro deportistas lo tienen claro.
33,whole,algunos,Algunos deportistas lo tienen claro.,Cuatro de cuatro deportistas lo tienen claro.
33,whole,unos,Unos deportistas lo tienen claro.,Cuatro de cuatro deportistas lo tienen claro.
34,sub,algunos,Algunos comentarios dejan mucho que desear.,Tres de cuatro comentarios dejan mucho que desear.
34,sub,unos,Unos comentarios dejan mucho que desear.,Tres de cuatro comentarios dejan mucho que desear.
34,whole,algunos,Algunos comentarios dejan mucho que desear.,Cuatro de cuatro comentarios dejan mucho que desear.
34,whole,unos,Unos comentarios dejan mucho que desear.,Cuatro de cuatro comentarios dejan mucho que desear.
35,sub,algunos,Algunos ciudadanos manejan agendas realmente indignadas.,Tres de cuatro ciudadanos manejan agendas realmente indignadas.
35,sub,unos,Unos ciudadanos manejan agendas realmente indignadas.,Tres de cuatro ciudadanos manejan agendas realmente indignadas.
35,whole,algunos,Algunos ciudadanos manejan agendas realmente indignadas.,Cuatro de cuatro ciudadanos manejan agendas realmente indignadas.
35,whole,unos,Unos ciudadanos manejan agendas realmente indignadas.,Cuatro de cuatro ciudadanos manejan agendas realmente indignadas.
36,sub,algunos,Algunos apartamentos han quedado calcinados.,Tres de cuatro apartamentos han quedado calcinados.
36,sub,unos,Unos apartamentos han quedado calcinados.,Tres de cuatro apartamentos han quedado calcinados.
36,whole,algunos,Algunos apartamentos han quedado calcinados.,Cuatro de cuatro apartamentos han quedado calcinados.
36,whole,unos,Unos apartamentos han quedado calcinados.,Cuatro de cuatro apartamentos han quedado calcinados.
37,sub,algunos,Algunos adolescentes ondeaban banderas nacionales.,Tres de cuatro adolescentes ondeaban banderas nacionales.
37,sub,unos,Unos adolescentes ondeaban banderas nacionales.,Tres de cuatro adolescentes ondeaban banderas nacionales.
37,whole,algunos,Algunos adolescentes ondeaban banderas nacionales.,Cuatro de cuatro adolescentes ondeaban banderas nacionales.
37,whole,unos,Unos adolescentes ondeaban banderas nacionales.,Cuatro de cuatro adolescentes ondeaban banderas nacionales.
38,sub,algunos,Algunos veteranos ven mucho descontrol.,Tres de cuatro veteranos ven mucho descontrol.
38,sub,unos,Unos veteranos ven mucho descontrol.,Tres de cuatro veteranos ven mucho descontrol.
38,whole,algunos,Algunos veteranos ven mucho descontrol.,Cuatro de cuatro veteranos ven mucho descontrol.
38,whole,unos,Unos veteranos ven mucho descontrol.,Cuatro de cuatro veteranos ven mucho descontrol.
39,sub,algunos,Algunos soldados hablan de excitación.,Tres de cuatro soldados hablan de excitación.
39,sub,unos,Unos soldados hablan de excitación.,Tres de cuatro soldados hablan de excitación.
39,whole,algunos,Algunos soldados hablan de excitación.,Cuatro de cuatro soldados hablan de excitación.
39,whole,unos,Unos soldados hablan de excitación.,Cuatro de cuatro soldados hablan de excitación.
40,sub,algunos,Algunos porteros nos ponían problemas para pasar.,Tres de cuatro porteros nos ponían problemas para pasar.
40,sub,unos,Unos porteros nos ponían problemas para pasar.,Tres de cuatro porteros nos ponían problemas para pasar.
40,whole,algunos,Algunos porteros nos ponían problemas para pasar.,Cuatro de cuatro porteros nos ponían problemas para pasar.
40,whole,unos,Unos porteros nos ponían problemas para pasar.,Cuatro de cuatro porteros nos ponían problemas para pasar.
41,sub,algunos,Algunos planteles suspendieron las clases.,Tres de cuatro planteles suspendieron las clases.
41,sub,unos,Unos planteles suspendieron las clases.,Tres de cuatro planteles suspendieron las clases.
41,whole,algunos,Algunos planteles suspendieron las clases.,Cuatro de cuatro planteles suspendieron las clases.
41,whole,unos,Unos planteles suspendieron las clases.,Cuatro de cuatro planteles suspendieron las clases.
42,sub,algunos,Algunos pescadores la habitan en verano.,Tres de cuatro pescadores la habitan en verano.
42,sub,unos,Unos pescadores la habitan en verano.,Tres de cuatro pescadores la habitan en verano.
42,whole,algunos,Algunos pescadores la habitan en verano.,Cuatro de cuatro pescadores la habitan en verano.
42,whole,unos,Unos pescadores la habitan en verano.,Cuatro de cuatro pescadores la habitan en verano.
43,sub,algunos,Algunos opositores quieren cantar fraude.,Tres de cuatro opositores quieren cantar fraude.
43,sub,unos,Unos opositores quieren cantar fraude.,Tres de cuatro opositores quieren cantar fraude.
43,whole,algunos,Algunos opositores quieren cantar fraude.,Cuatro de cuatro opositores quieren cantar fraude.
43,whole,unos,Unos opositores quieren cantar fraude.,Cuatro de cuatro opositores quieren cantar fraude.
44,sub,algunos,Algunos medicamentos pueden tener este efecto secundario.,Tres de cuatro medicamentos pueden tener este efecto secundario.
44,sub,unos,Unos medicamentos pueden tener este efecto secundario.,Tres de cuatro medicamentos pueden tener este efecto secundario.
44,whole,algunos,Algunos medicamentos pueden tener este efecto secundario.,Cuatro de cuatro medicamentos pueden tener este efecto secundario.
44,whole,unos,Unos medicamentos pueden tener este efecto secundario.,Cuatro de cuatro medicamentos pueden tener este efecto secundario.
45,sub,algunos,Algunos jóvenes participaban en esa organización.,Tres de cuatro jóvenes participaban en esa organización.
45,sub,unos,Unos jóvenes participaban en esa organización.,Tres de cuatro jóvenes participaban en esa organización.
45,whole,algunos,Algunos jóvenes participaban en esa organización.,Cuatro de cuatro jóvenes participaban en esa organización.
45,whole,unos,Unos jóvenes participaban en esa organización.,Cuatro de cuatro jóvenes participaban en esa organización.
46,sub,algunos,Algunos insectos vienen de visita a casa.,Tres de cuatro insectos vienen de visita a casa.
46,sub,unos,Unos insectos vienen de visita a casa.,Tres de cuatro insectos vienen de visita a casa.
46,whole,algunos,Algunos insectos vienen de visita a casa.,Cuatro de cuatro insectos vienen de visita a casa.
46,whole,unos,Unos insectos vienen de visita a casa.,Cuatro de cuatro insectos vienen de visita a casa.
47,sub,algunos,Algunos familiares les acompañan en la sesión.,Tres de cuatro familiares les acompañan en la sesión.
47,sub,unos,Unos familiares les acompañan en la sesión.,Tres de cuatro familiares les acompañan en la sesión.
47,whole,algunos,Algunos familiares les acompañan en la sesión.,Cuatro de cuatro familiares les acompañan en la sesión.
47,whole,unos,Unos familiares les acompañan en la sesión.,Cuatro de cuatro familiares les acompañan en la sesión.
48,sub,algunos,Algunos edificios suponen un alto peligro.,Tres de cuatro edificios suponen un alto peligro.
48,sub,unos,Unos edificios suponen un alto peligro.,Tres de cuatro edificios suponen un alto peligro.
48,whole,algunos,Algunos edificios suponen un alto peligro.,Cuatro de cuatro edificios suponen un alto peligro.
48,whole,unos,Unos edificios suponen un alto peligro.,Cuatro de cuatro edificios suponen un alto peligro.
49,sub,algunos,Algunos agujeros han sido tapados.,Tres de cuatro agujeros han sido tapados.
49,sub,unos,Unos agujeros han sido tapados.,Tres de cuatro agujeros han sido tapados.
49,whole,algunos,Algunos agujeros han sido tapados.,Cuatro de cuatro agujeros han sido tapados.
49,whole,unos,Unos agujeros han sido tapados.,Cuatro de cuatro agujeros han sido tapados.
50,sub,algunos,"Algunos columnistas lo han descrito como ""corrosivo"".","Tres de cuatro columnistas lo han descrito como ""corrosivo""."
50,sub,unos,"Unos columnistas lo han descrito como ""corrosivo"".","Tres de cuatro columnistas lo han descrito como ""corrosivo""."
50,whole,algunos,"Algunos columnistas lo han descrito como ""corrosivo"".","Cuatro de cuatro columnistas lo han descrito como ""corrosivo""."
50,whole,unos,"Unos columnistas lo han descrito como ""corrosivo"".","Cuatro de cuatro columnistas lo han descrito como ""corrosivo""."
51,sub,algunos,Algunos coches han pitado.,Tres de cuatro coches han pitado.
51,sub,unos,Unos coches han pitado.,Tres de cuatro coches han pitado.
51,whole,algunos,Algunos coches han pitado.,Cuatro de cuatro coches han pitado.
51,whole,unos,Unos coches han pitado.,Cuatro de cuatro coches han pitado.
52,sub,algunos,Algunos cadáveres presentaban señales de tortura.,Tres de cuatro cadáveres presentaban señales de tortura.
52,sub,unos,Unos cadáveres presentaban señales de tortura.,Tres de cuatro cadáveres presentaban señales de tortura.
52,whole,algunos,Algunos cadáveres presentaban señales de tortura.,Cuatro de cuatro cadáveres presentaban señales de tortura.
52,whole,unos,Unos cadáveres presentaban señales de tortura.,Cuatro de cuatro cadáveres presentaban señales de tortura.
53,sub,algunos,Algunos animales tienen una suerte.,Tres de cuatro animales tienen una suerte.
53,sub,unos,Unos animales tienen una suerte.,Tres de cuatro animales tienen una suerte.
53,whole,algunos,Algunos animales tienen una suerte.,Cuatro de cuatro animales tienen una suerte.
53,whole,unos,Unos animales tienen una suerte.,Cuatro de cuatro animales tienen una suerte.
54,sub,algunos,Algunos francotiradores han entregado sus armas.,Tres de cuatro francotiradores han entregado sus armas.
54,sub,unos,Unos francotiradores han entregado sus armas.,Tres de cuatro francotiradores han entregado sus armas.
54,whole,algunos,Algunos francotiradores han entregado sus armas.,Cuatro de cuatro francotiradores han entregado sus armas.
54,whole,unos,Unos francotiradores han entregado sus armas.,Cuatro de cuatro francotiradores han entregado sus armas.
55,sub,algunos,Algunos legisladores salientes han cometido barbaridades.,Tres de cuatro legisladores salientes han cometido barbaridades.
55,sub,unos,Unos legisladores salientes han cometido barbaridades.,Tres de cuatro legisladores salientes han cometido barbaridades.
55,whole,algunos,Algunos legisladores salientes han cometido barbaridades.,Cuatro de cuatro legisladores salientes han cometido barbaridades.
55,whole,unos,Unos legisladores salientes han cometido barbaridades.,Cuatro de cuatro legisladores salientes han cometido barbaridades.
56,sub,algunos,Algunos amigos tienen sus sospechas.,Tres de cuatro amigos tienen sus sospechas.
56,sub,unos,Unos amigos tienen sus sospechas.,Tres de cuatro amigos tienen sus sospechas.
56,whole,algunos,Algunos amigos tienen sus sospechas.,Cuatro de cuatro amigos tienen sus sospechas.
56,whole,unos,Unos amigos tienen sus sospechas.,Cuatro de cuatro amigos tienen sus sospechas.
57,sub,algunos,Algunos ex funcionarios están siendo enjuiciados.,Tres de cuatro ex funcionarios están siendo enjuiciados.
57,sub,unos,Unos ex funcionarios están siendo enjuiciados.,Tres de cuatro ex funcionarios están siendo enjuiciados.
57,whole,algunos,Algunos ex funcionarios están siendo enjuiciados.,Cuatro de cuatro ex funcionarios están siendo enjuiciados.
57,whole,unos,Unos ex funcionarios están siendo enjuiciados.,Cuatro de cuatro ex funcionarios están siendo enjuiciados.
58,sub,algunos,Algunos niños la pasaron mal.,Tres de cuatro niños la pasaron mal.
58,sub,unos,Unos niños la pasaron mal.,Tres de cuatro niños la pasaron mal.
58,whole,algunos,Algunos niños la pasaron mal.,Cuatro de cuatro niños la pasaron mal.
58,whole,unos,Unos niños la pasaron mal.,Cuatro de cuatro niños la pasaron mal.
59,sub,algunos,Algunos nenes aparecieron con los ojos colgando.,Tres de cuatro nenes aparecieron con los ojos colgando.
59,sub,unos,Unos nenes aparecieron con los ojos colgando.,Tres de cuatro nenes aparecieron con los ojos colgando.
59,whole,algunos,Algunos nenes aparecieron con los ojos colgando.,Cuatro de cuatro nenes aparecieron con los ojos colgando.
59,whole,unos,Unos nenes aparecieron con los ojos colgando.,Cuatro de cuatro nenes aparecieron con los ojos colgando.
60,sub,algunos,Algunos académicos comparten este criterio.,Tres de cuatro académicos comparten este criterio.
60,sub,unos,Unos académicos comparten este criterio.,Tres de cuatro académicos comparten este criterio.
60,whole,algunos,Algunos académicos comparten este criterio.,Cuatro de cuatro académicos comparten este criterio.
60,whole,unos,Unos académicos comparten este criterio.,Cuatro de cuatro académicos comparten este criterio.
61,sub,algunos,Algunos funcionarios no están de acuerdo.,Tres de cuatro funcionarios no están de acuerdo.
61,sub,unos,Unos funcionarios no están de acuerdo.,Tres de cuatro funcionarios no están de acuerdo.
61,whole,algunos,Algunos funcionarios no están de acuerdo.,Cuatro de cuatro funcionarios no están de acuerdo.
61,whole,unos,Unos funcionarios no están de acuerdo.,Cuatro de cuatro funcionarios no están de acuerdo.
62,sub,algunos,Algunos jóvenes enmascarados saquearon varias tiendas.,Tres de cuatro jóvenes enmascarados saquearon varias tiendas.
62,sub,unos,Unos jóvenes enmascarados saquearon varias tiendas.,Tres de cuatro jóvenes enmascarados saquearon varias tiendas.
62,whole,algunos,Algunos jóvenes enmascarados saquearon varias tiendas.,Cuatro de cuatro jóvenes enmascarados saquearon varias tiendas.
62,whole,unos,Unos jóvenes enmascarados saquearon varias tiendas.,Cuatro de cuatro jóvenes enmascarados saquearon varias tiendas.
63,sub,algunos,Algunos amigos en Costa Rica están inquietos.,Tres de cuatro amigos en Costa Rica están inquietos.
63,sub,unos,Unos amigos en Costa Rica están inquietos.,Tres de cuatro amigos en Costa Rica están inquietos.
63,whole,algunos,Algunos amigos en Costa Rica están inquietos.,Cuatro de cuatro amigos en Costa Rica están inquietos.
63,whole,unos,Unos amigos en Costa Rica están inquietos.,Cuatro de cuatro amigos en Costa Rica están inquietos.
64,sub,algunos,Algunos amigos no ayudaban.,Tres de cuatro amigos no ayudaban.
64,sub,unos,Unos amigos no ayudaban.,Tres de cuatro amigos no ayudaban.
64,whole,algunos,Algunos amigos no ayudaban.,Cuatro de cuatro amigos no ayudaban.
64,whole,unos,Unos amigos no ayudaban.,Cuatro de cuatro amigos no ayudaban.
65,sub,algunos,Algunos presos políticos serán puestos en libertad.,Tres de cuatro presos políticos serán puestos en libertad.
65,sub,unos,Unos presos políticos serán puestos en libertad.,Tres de cuatro presos políticos serán puestos en libertad.
65,whole,algunos,Algunos presos políticos serán puestos en libertad.,Cuatro de cuatro presos políticos serán puestos en libertad.
65,whole,unos,Unos presos políticos serán puestos en libertad.,Cuatro de cuatro presos políticos serán puestos en libertad.
66,sub,algunos,Algunos pepenadores hicieron su agosto.,Tres de cuatro pepenadores hicieron su agosto.
66,sub,unos,Unos pepenadores hicieron su agosto.,Tres de cuatro pepenadores hicieron su agosto.
