item,context,determiner,premise,hypothesis
8,sub,algunos,Algunos gremios no quieren dialogar.,No todos los gremios no quieren dialogar.
8,sub,unos,Unos gremios no quieren dialogar.,No todos los gremios no quieren dialogar.
8,whole,algunos,Algunos gremios no quieren dialogar.,Todos los gremios no quieren dialogar.
8,whole,unos,Unos gremios no quieren dialogar.,Todos los gremios no quieren dialogar.
9,sub,algunos,Algunos ejemplos exponen el cuadro.,No todos los ejemplos exponen el cuadro.
9,sub,unos,Unos ejemplos exponen el cuadro.,No todos los ejemplos exponen el cuadro.
9,whole,algunos,Algunos ejemplos exponen el cuadro.,Todos los ejemplos exponen el cuadro.
9,whole,unos,Unos ejemplos exponen el cuadro.,Todos los ejemplos exponen el cuadro.
10,sub,algunos,Algunos dispositivos brillan en la oscuridad.,No todos los dispositivos brillan en la oscuridad.
10,sub,unos,Unos dispositivos brillan en la oscuridad.,No todos los dispositivos brillan en la oscuridad.
10,whole,algunos,Algunos dispositivos brillan en la oscuridad.,Todos los dispositivos brillan en la oscuridad.
10,whole,unos,Unos dispositivos brillan en la oscuridad.,Todos los dispositivos brillan en la oscuridad.
11,sub,algunos,Algunos diplomáticos occidentales participaron.,No todos los diplomáticos occidentales participaron.
11,sub,unos,Unos diplomáticos occidentales participaron.,No todos los diplomáticos occidentales participaron.
11,whole,algunos,Algunos diplomáticos occidentales participaron.,Todos los diplomáticos occidentales participaron.
11,whole,unos,Unos diplomáticos occidentales participaron.,Todos los diplomáticos occidentales participaron.
12,sub,algunos,Algunos ciudadanos suben a mirar más alto.,No todos los ciudadanos suben a mirar más alto.
12,sub,unos,Unos ciudadanos suben a mirar más alto.,No todos los ciudadanos suben a mirar más alto.
12,whole,algunos,Algunos ciudadanos suben a mirar más alto.,Todos los ciudadanos suben a mirar más alto.
12,whole,unos,Unos ciudadanos suben a mirar más alto.,Todos los ciudadanos suben a mirar más alto.
13,sub,algunos,Algunos chicos terminaron lastimados.,No todos los chicos terminaron lastimados.
13,sub,unos,Unos chicos terminaron lastimados.,No todos los chicos terminaron lastimados.
13,whole,algunos,Algunos chicos terminaron lastimados.,Todos los chicos terminaron lastimados.
13,whole,unos,Unos chicos terminaron lastimados.,Todos los chicos terminaron lastimados.
14,sub,algunos,Algunos campamentos prometen disciplina militar.,No todos los campamentos prometen disciplina militar.
14,sub,unos,Unos campamentos prometen disciplina militar.,No todos los campamentos prometen disciplina militar.
14,whole,algunos,Algunos campamentos prometen disciplina militar.,Todos los campamentos prometen disciplina militar.
14,whole,unos,Unos campamentos prometen disciplina militar.,Todos los campamentos prometen disciplina militar.
15,sub,algunos,Algunos agentes de policía resultaron lesionados.,No todos los agentes de policía resultaron lesionados.
15,sub,unos,Unos agentes de policía resultaron lesionados.,No todos los agentes de policía resultaron lesionados.
15,whole,algunos,Algunos agentes de policía resultaron lesionados.,Todos los agentes de policía resultaron lesionados.
15,whole,unos,Unos agentes de policía resultaron lesionados.,Todos los agentes de policía resultaron lesionados.
16,sub,algunos,Algunos dirigentes sindicales quieren vivir en el anarquismo.,No todos los dirigentes sindicales quieren vivir en el anarquismo.
16,sub,unos,Unos dirigentes sindicales quieren vivir en el anarquismo.,No todos los dirigentes sindicales quieren vivir en el anarquismo.
16,whole,algunos,Algunos dirigentes sindicales quieren vivir en el anarquismo.,Todos los dirigentes sindicales quieren vivir en el anarquismo.
16,whole,unos,Unos dirigentes sindicales quieren vivir en el anarquismo.,Todos los dirigentes sindicales quieren vivir en el anarquismo.
17,sub,algunos,Algunos sectores del instituto fueron remodelados.,No todos los sectores del instituto fueron remodelados.
17,sub,unos,Unos sectores del instituto fueron remodelados.,No todos los sectores del instituto fueron remodelados.
17,whole,algunos,Algunos sectores del instituto fueron remodelados.,Todos los sectores del instituto fueron remodelados.
17,whole,unos,Unos sectores del instituto fueron remodelados.,Todos los sectores del instituto fueron remodelados.
18,sub,algunos,Algunos políticos dijeron que todos estaban comprados.,No todos los políticos dijeron que todos estaban comprados.
18,sub,unos,Unos políticos dijeron que todos estaban comprados.,No todos los políticos dijeron que todos estaban comprados.
18,whole,algunos,Algunos políticos dijeron que todos estaban comprados.,Todos los políticos dijeron que todos estaban comprados.
18,whole,unos,Unos políticos dijeron que todos estaban comprados.,Todos los políticos dijeron que todos estaban comprados.
19,sub,algunos,Algunos legisladores han adoptado una postura similar.,No todos los legisladores han adoptado una postura similar.
19,sub,unos,Unos legisladores han adoptado una postura similar.,No todos los legisladores han adoptado una postura similar.
19,whole,algunos,Algunos legisladores han adoptado una postura similar.,Todos los legisladores han adoptado una postura similar.
19,whole,unos,Unos legisladores han adoptado una postura similar.,Todos los legisladores han adoptado una postura similar.
20,sub,algunos,Algunos ex jugadores británicos criticaron a Marcelo.,No todos los ex jugadores británicos criticaron a Marcelo.
20,sub,unos,Unos ex jugadores británicos criticaron a Marcelo.,No todos los ex jugadores británicos criticaron a Marcelo.
20,whole,algunos,Algunos ex jugadores británicos criticaron a Marcelo.,Todos los ex jugadores británicos criticaron a Marcelo.
20,whole,unos,Unos ex jugadores británicos criticaron a Marcelo.,Todos los ex jugadores británicos criticaron a Marcelo.
21,sub,algunos,Algunos establecimientos ofrecen financiar las compras.,No todos los establecimientos ofrecen financiar las compras.
21,sub,unos,Unos establecimientos ofrecen financiar las compras.,No todos los establecimientos ofrecen financiar las compras.
21,whole,algunos,Algunos establecimientos ofrecen financiar las compras.,Todos los establecimientos ofrecen financiar las compras.
21,whole,unos,Unos establecimientos ofrecen financiar las compras.,Todos los establecimientos ofrecen financiar las compras.
22,sub,algunos,Algunos concejales prefieren seguir tal como están.,No todos los concejales prefieren seguir tal como están.
22,sub,unos,Unos concejales prefieren seguir tal como están.,No todos los concejales prefieren seguir tal como están.
22,whole,algunos,Algunos concejales prefieren seguir tal como están.,Todos los concejales prefieren seguir tal como están.
22,whole,unos,Unos concejales prefieren seguir tal como están.,Todos los concejales prefieren seguir tal como están.
23,sub,algunos,Algunos aviones tienen una tecnología prácticamente olímpica,No todos los aviones tienen una tecnología prácticamente olímpica
23,sub,unos,Unos aviones tienen una tecnología prácticamente olímpica,No todos los aviones tienen una tecnología prácticamente olímpica
23,whole,algunos,Algunos aviones tienen una tecnología prácticamente olímpica,Todos los aviones tienen una tecnología prácticamente olímpica
23,whole,unos,Unos aviones tienen una tecnología prácticamente olímpica,Todos los aviones tienen una tecnología prácticamente olímpica
24,sub,algunos,Algunos agentes cumplen penas de cárcel.,No todos los agentes cumplen penas de cárcel.
24,sub,unos,Unos agentes cumplen penas de cárcel.,No todos los agentes cumplen penas de cárcel.
24,whole,algunos,Algunos agentes cumplen penas de cárcel.,Todos los agentes cumplen penas de cárcel.
24,whole,unos,Unos agentes cumplen penas de cárcel.,Todos los agentes cumplen penas de cárcel.
25,sub,algunos,Algunos aficionados evidenciaron su enfado.,No todos los aficionados evidenciaron su enfado.
25,sub,unos,Unos aficionados evidenciaron su enfado.,No todos los aficionados evidenciaron su enfado.
25,whole,algunos,Algunos aficionados evidenciaron su enfado.,Todos los aficionados evidenciaron su enfado.
25,whole,unos,Unos aficionados evidenciaron su enfado.,Todos los aficionados evidenciaron su enfado.
26,sub,algunos,Algunos acusados murieron durante el proceso.,No todos los acusados murieron durante el proceso.
26,sub,unos,Unos acusados murieron durante el proceso.,No todos los acusados murieron durante el proceso.
26,whole,algunos,Algunos acusados murieron durante el proceso.,Todos los acusados murieron durante el proceso.
26,whole,unos,Unos acusados murieron durante el proceso.,Todos los acusados murieron durante el proceso.
27,sub,algunos,Algunos trabajadores comienzan la huelga general en Lisboa.,No todos los trabajadores comienzan la huelga general en Lisboa.
27,sub,unos,Unos trabajadores comienzan la huelga general en Lisboa.,No todos los trabajadores comienzan la huelga general en Lisboa.
27,whole,algunos,Algunos trabajadores comienzan la huelga general en Lisboa.,Todos los trabajadores comienzan la huelga general en Lisboa.
27,whole,unos,Unos trabajadores comienzan la huelga general en Lisboa.,Todos los trabajadores comienzan la huelga general en Lisboa.
28,sub,algunos,Algunos platos están apilados cuidadosamente en los estantes.,No todos los platos están apilados cuidadosamente en los estantes.
28,sub,unos,Unos platos están apilados cuidadosamente en los estantes.,No todos los platos están apilados cuidadosamente en los estantes.
28,whole,algunos,Algunos platos están apilados cuidadosamente en los estantes.,Todos los platos están apilados cuidadosamente en los estantes.
28,whole,unos,Unos platos están apilados cuidadosamente en los estantes.,Todos los platos están apilados cuidadosamente en los estantes.
29,sub,algunos,Algunos jugadores acudieron a Coapa a recoger pertenencias.,No todos los jugadores acudieron a Coapa a recoger pertenencias.
29,sub,unos,Unos jugadores acudieron a Coapa a recoger pertenencias.,No todos los jugadores acudieron a Coapa a recoger pertenencias.
29,whole,algunos,Algunos jugadores acudieron a Coapa a recoger pertenencias.,Todos los jugadores acudieron a Coapa a recoger pertenencias.
29,whole,unos,Unos jugadores acudieron a Coapa a recoger pertenencias.,Todos los jugadores acudieron a Coapa a recoger pertenencias.
30,sub,algunos,Algunos hombres sólo queremos ver el mundo arder.,No todos los hombres sólo queremos ver el mundo arder.
30,sub,unos,Unos hombres sólo queremos ver el mundo arder.,No todos los hombres sólo queremos ver el mundo arder.
30,whole,algunos,Algunos hombres sólo queremos ver el mundo arder.,Todos los hombres sólo queremos ver el mundo arder.
30,whole,unos,Unos hombres sólo queremos ver el mundo arder.,Todos los hombres sólo queremos ver el mundo arder.
31,sub,algunos,Algunos pisos rojos tienen tapiadas las ventanas.,No todos los pisos rojos tienen tapiadas las ventanas.
31,sub,unos,Unos pisos rojos tienen tapiadas las ventanas.,No todos los pisos rojos tienen tapiadas las ventanas.
31,whole,algunos,Algunos pisos rojos tienen tapiadas las ventanas.,Todos los pisos rojos tienen tapiadas las ventanas.
31,whole,unos,Unos pisos rojos tienen tapiadas las ventanas.,Todos los pisos rojos tienen tapiadas las ventanas.
32,sub,algunos,Algunos expertos criticaron severamente los experimentos.,No todos los expertos criticaron severamente los experimentos.
32,sub,unos,Unos expertos criticaron severamente los experimentos.,No todos los expertos criticaron severamente los experimentos.
32,whole,algunos,Algunos expertos criticaron severamente los experimentos.,Todos los expertos criticaron severamente los experimentos.
32,whole,unos,Unos expertos criticaron severamente los experimentos.,Todos los expertos criticaron severamente los experimentos.
33,sub,algunos,Algunos deportistas lo tienen claro.,No todos los deportistas lo tienen claro.
33,sub,unos,Unos deportistas lo tienen claro.,No todos los deportistas lo tienen claro.
33,whole,algunos,Algunos deportistas lo tienen claro.,Todos los deportistas lo tienen claro.
33,whole,unos,Unos deportistas lo tienen claro.,Todos los deportistas lo tienen claro.
34,sub,algunos,Algunos comentarios dejan mucho que desear.,No todos los comentarios dejan mucho que desear.
34,sub,unos,Unos comentarios dejan mucho que desear.,No todos los comentarios dejan mucho que desear.
34,whole,algunos,Algunos comentarios dejan mucho que desear.,Todos los comentarios dejan mucho que desear.
34,whole,unos,Unos comentarios dejan mucho que desear.,Todos los comentarios dejan mucho que desear.
35,sub,algunos,Algunos ciudadanos manejan agendas realmente indignadas.,No todos los ciudadanos manejan agendas realmente indignadas.
35,sub,unos,Unos ciudadanos manejan agendas realmente indignadas.,No todos los ciudadanos manejan agendas realmente indignadas.
35,whole,algunos,Algunos ciudadanos manejan agendas realmente indignadas.,Todos los ciudadanos manejan agendas realmente indignadas.
35,whole,unos,Unos ciudadanos manejan agendas realmente indignadas.,Todos los ciudadanos manejan agendas realmente indignadas.
36,sub,algunos,Algunos apartamentos han quedado calcinados.,No todos los apartamentos han quedado calcinados.
36,sub,unos,Unos apartamentos han quedado calcinados.,No todos los apartamentos han quedado calcinados.
36,whole,algunos,Algunos apartamentos han quedado calcinados.,Todos los apartamentos han quedado calcinados.
36,whole,unos,Unos apartamentos han quedado calcinados.,Todos los apartamentos han quedado calcinados.
37,sub,algunos,Algunos adolescentes ondeaban banderas nacionales.,No todos los adolescentes ondeaban banderas nacionales.
37,sub,unos,Unos adolescentes ondeaban banderas nacionales.,No todos los adolescentes ondeaban banderas nacionales.
37,whole,algunos,Algunos adolescentes ondeaban banderas nacionales.,Todos los adolescentes ondeaban banderas nacionales.
37,whole,unos,Unos adolescentes ondeaban banderas nacionales.,Todos los adolescentes ondeaban banderas nacionales.
38,sub,algunos,Algunos veteranos ven mucho descontrol.,No todos los veteranos ven mucho descontrol.
38,sub,unos,Unos veteranos ven mucho descontrol.,No todos los veteranos ven mucho descontrol.
38,whole,algunos,Algunos veteranos ven mucho descontrol.,Todos los veteranos ven mucho descontrol.
38,whole,unos,Unos veteranos ven mucho descontrol.,Todos los veteranos ven mucho descontrol.
39,sub,algunos,Algunos soldados hablan de excitación.,No todos los soldados hablan de excitación.
39,sub,unos,Unos soldados hablan de excitación.,No todos los soldados hablan de excitación.
39,whole,algunos,Algunos soldados hablan de excitación.,Todos los soldados hablan de excitación.
39,whole,unos,Unos soldados hablan de excitación.,Todos los soldados hablan de excitación.
40,sub,algunos,Algunos porteros nos ponían problemas para pasar.,No todos los porteros nos ponían problemas para pasar.
40,sub,unos,Unos porteros nos ponían problemas para pasar.,No todos los porteros nos ponían problemas para pasar.
40,whole,algunos,Algunos porteros nos ponían problemas para pasar.,Todos los porteros nos ponían problemas para pasar.
40,whole,unos,Unos porteros nos ponían problemas para pasar.,Todos los porteros nos ponían problemas para pasar.
41,sub,algunos,Algunos planteles suspendieron las clases.,No todos los planteles suspendieron las clases.
41,sub,unos,Unos planteles suspendieron las clases.,No todos los planteles suspendieron las clases.
41,whole,algunos,Algunos planteles suspendieron las clases.,Todos los planteles suspendieron las clases.
41,whole,unos,Unos planteles suspendieron las clases.,Todos los planteles suspendieron las clases.
42,sub,algunos,Algunos pescadores la habitan en verano.,No todos los pescadores la habitan en verano.
42,sub,unos,Unos pescadores la habitan en verano.,No todos los pescadores la habitan en verano.
42,whole,algunos,Algunos pescadores la habitan en verano.,Todos los pescadores la habitan en verano.
42,whole,unos,Unos pescadores la habitan en verano.,Todos los pescadores la habitan en verano.
43,sub,algunos,Algunos opositores quieren cantar fraude.,No todos los opositores quieren cantar fraude.
43,sub,unos,Unos opositores quieren cantar fraude.,No todos los opositores quieren cantar fraude.
43,whole,algunos,Algunos opositores quieren cantar fraude.,Todos los opositores quieren cantar fraude.
43,whole,unos,Unos opositores quieren cantar fraude.,Todos los opositores quieren cantar fraude.
44,sub,algunos,Algunos medicamentos pueden tener este efecto secundario.,No todos los medicamentos pueden tener este efecto secundario.
44,sub,unos,Unos medicamentos pueden tener este efecto secundario.,No todos los medicamentos pueden tener este efecto secundario.
44,whole,algunos,Algunos medicamentos pueden tener este efecto secundario.,Todos los medicamentos pueden tener este efecto secundario.
44,whole,unos,Unos medicamentos pueden tener este efecto secundario.,Todos los medicamentos pueden tener este efecto secundario.
45,sub,algunos,Algunos jóvenes participaban en esa organización.,No todos los jóvenes participaban en esa organización.
45,sub,unos,Unos jóvenes participaban en esa organización.,No todos los jóvenes participaban en esa organización.
45,whole,algunos,Algunos jóvenes participaban en esa organización.,Todos los jóvenes participaban en esa organización.
45,whole,unos,Unos jóvenes participaban en esa organización.,Todos los jóvenes participaban en esa organización.
46,sub,algunos,Algunos insectos vienen de visita a casa.,No todos los insectos vienen de visita a casa.
46,sub,unos,Unos insectos vienen de visita a casa.,No todos los insectos vienen de visita a casa.
46,whole,algunos,Algunos insectos vienen de visita a casa.,Todos los insectos vienen de visita a casa.
46,whole,unos,Unos insectos vienen de visita a casa.,Todos los insectos vienen de visita a casa.
47,sub,algunos,Algunos familiares les acompañan en la sesión.,No todos los familiares les acompañan en la sesión.
47,sub,unos,Unos familiares les acompañan en la sesión.,No todos los familiares les acompañan en la sesión.
47,whole,algunos,Algunos familiares les acompañan en la sesión.,Todos los familiares les acompañan en la sesión.
47,whole,unos,Unos familiares les acompañan en la sesión.,Todos los familiares les acompañan en la sesión.
48,sub,algunos,Algunos edificios suponen un alto peligro.,No todos los edificios suponen un alto peligro.
48,sub,unos,Unos edificios suponen un alto peligro.,No todos los edificios suponen un alto peligro.
48,whole,algunos,Algunos edificios suponen un alto peligro.,Todos los edificios suponen un alto peligro.
48,whole,unos,Unos edificios suponen un alto peligro.,Todos los edificios suponen un alto peligro.
49,sub,algunos,Algunos agujeros han sido tapados.,No todos los agujeros han sido tapados.
49,sub,unos,Unos agujeros han sido tapados.,No todos los agujeros han sido tapados.
49,whole,algunos,Algunos agujeros han sido tapados.,Todos los agujeros han sido tapados.
49,whole,unos,Unos agujeros han sido tapados.,Todos los agujeros han sido tapados.
50,sub,algunos,"Algunos columnistas lo han descrito como ""corrosivo"".","No todos los columnistas lo han descrito como ""corrosivo""."
50,sub,unos,"Unos columnistas lo han descrito como ""corrosivo"".","No todos los columnistas lo han descrito como ""corrosivo""."
50,whole,algunos,"Algunos columnistas lo han descrito como ""corrosivo"".","Todos los columnistas lo han descrito como ""corrosivo""."
50,whole,unos,"Unos columnistas lo han descrito como ""corrosivo"".","Todos los columnistas lo han descrito como ""corrosivo""."
51,sub,algunos,Algunos coches han pitado.,No todos los coches han pitado.
51,sub,unos,Unos coches han pitado.,No todos los coches han pitado.
51,whole,algunos,Algunos coches han pitado.,Todos los coches han pitado.
51,whole,unos,Unos coches han pitado.,Todos los coches han pitado.
52,sub,algunos,Algunos cadáveres presentaban señales de tortura.,No todos los cadáveres presentaban señales de tortura.
52,sub,unos,Unos cadáveres presentaban señales de tortura.,No todos los cadáveres presentaban señales de tortura.
52,whole,algunos,Algunos cadáveres presentaban señales de tortura.,Todos los cadáveres presentaban señales de tortura.
52,whole,unos,Unos cadáveres presentaban señales de tortura.,Todos los cadáveres presentaban señales de tortura.
53,sub,algunos,Algunos animales tienen una suerte.,No todos los animales tienen una suerte.
53,sub,unos,Unos animales tienen una suerte.,No todos los animales tienen una suerte.
53,whole,algunos,Algunos animales tienen una suerte.,Todos los animales tienen una suerte.
53,whole,unos,Unos animales tienen una suerte.,Todos los animales tienen una suerte.
54,sub,algunos,Algunos francotiradores han entregado sus armas.,No todos los francotiradores han entregado sus armas.
54,sub,unos,Unos francotiradores han entregado sus armas.,No todos los francotiradores han entregado sus armas.
54,whole,algunos,Algunos francotiradores han entregado sus armas.,Todos los francotiradores han entregado sus armas.
54,whole,unos,Unos francotiradores han entregado sus armas.,Todos los francotiradores han entregado sus armas.
55,sub,algunos,Algunos legisladores salientes han cometido barbaridades.,No todos los legisladores salientes han cometido barbaridades.
55,sub,unos,Unos legisladores salientes han cometido barbaridades.,No todos los legisladores salientes han cometido barbaridades.
55,whole,algunos,Algunos legisladores salientes han cometido barbaridades.,Todos los legisladores salientes han cometido barbaridades.
55,whole,unos,Unos legisladores salientes han cometido barbaridades.,Todos los legisladores salientes han cometido barbaridades.
56,sub,algunos,Algunos amigos tienen sus sospechas.,No todos los amigos tienen sus sospechas.
56,sub,unos,Unos amigos tienen sus sospechas.,No todos los amigos tienen sus sospechas.
56,whole,algunos,Algunos amigos tienen sus sospechas.,Todos los amigos tienen sus sospechas.
56,whole,unos,Unos amigos tienen sus sospechas.,Todos los amigos tienen sus sospechas.
57,sub,algunos,Algunos ex funcionarios están siendo enjuiciados.,No todos los ex funcionarios están siendo enjuiciados.
57,sub,unos,Unos ex funcionarios están siendo enjuiciados.,No todos los ex funcionarios están siendo enjuiciados.
57,whole,algunos,Algunos ex funcionarios están siendo enjuiciados.,Todos los ex funcionarios están siendo enjuiciados.
57,whole,unos,Unos ex funcionarios están siendo enjuiciados.,Todos los ex funcionarios están siendo enjuiciados.
58,sub,algunos,Algunos niños la pasaron mal.,No todos los niños la pasaron mal.
58,sub,unos,Unos niños la pasaron mal.,No todos los niños la pasaron mal.
58,whole,algunos,Algunos niños la pasaron mal.,Todos los niños la pasaron mal.
58,whole,unos,Unos niños la pasaron mal.,Todos los niños la pasaron mal.
59,sub,algunos,Algunos nenes aparecieron con los ojos colgando.,No todos los nenes aparecieron con los ojos colgando.
59,sub,unos,Unos nenes aparecieron con los ojos colgando.,No todos los nenes aparecieron con los ojos colgando.
59,whole,algunos,Algunos nenes aparecieron con los ojos colgando.,Todos los nenes aparecieron con los ojos colgando.
59,whole,unos,Unos nenes aparecieron con los ojos colgando.,Todos los nenes aparecieron con los ojos colgando.
60,sub,algunos,Algunos académicos comparten este criterio.,No todos los académicos comparten este criterio.
60,sub,unos,Unos académicos comparten este criterio.,No todos los académicos comparten este criterio.
60,whole,algunos,Algunos académicos comparten este criterio.,Todos los académicos comparten este criterio.
60,whole,unos,Unos académicos comparten este criterio.,Todos los académicos comparten este criterio.
61,sub,algunos,Algunos funcionarios no están de acuerdo.,No todos los funcionarios no están de acuerdo.
61,sub,unos,Unos funcionarios no están de acuerdo.,No todos los funcionarios no están de acuerdo.
61,whole,algunos,Algunos funcionarios no están de acuerdo.,Todos los funcionarios no están de acuerdo.
61,whole,unos,Unos funcionarios no están de acuerdo.,Todos los funcionarios no están de acuerdo.
62,sub,algunos,Algunos jóvenes enmascarados saquearon varias tiendas.,No todos los jóvenes enmascarados saquearon varias tiendas.
62,sub,unos,Unos jóvenes enmascarados saquearon varias tiendas.,No todos los jóvenes enmascarados saquearon varias tiendas.
62,whole,algunos,Algunos jóvenes enmascarados saquearon varias tiendas.,Todos los jóvenes enmascarados saquearon varias tiendas.
62,whole,unos,Unos jóvenes enmascarados saquearon varias tiendas.,Todos los jóvenes enmascarados saquearon varias tiendas.
63,sub,algunos,Algunos amigos en Costa Rica están inquietos.,No todos los amigos en Costa Rica están inquietos.
63,sub,unos,Unos amigos en Costa Rica están inquietos.,No todos los amigos en Costa Rica están inquietos.
63,whole,algunos,Algunos amigos en Costa Rica están inquietos.,Todos los amigos en Costa Rica están inquietos.
63,whole,unos,Unos amigos en Costa Rica están inquietos.,Todos los amigos en Costa Rica están inquietos.
64,sub,algunos,Algunos amigos no ayudaban.,No todos los amigos no ayudaban.
64,sub,unos,Unos amigos no ayudaban.,No todos los amigos no ayudaban.
64,whole,algunos,Algunos amigos no ayudaban.,Todos los amigos no ayudaban.
64,whole,unos,Unos amigos no ayudaban.,Todos los amigos no ayudaban.
65,sub,algunos,Algunos presos políticos serán puestos en libertad.,No todos los presos políticos serán puestos en libertad.
65,sub,unos,Unos presos políticos serán puestos en libertad.,No todos los presos políticos serán puestos en libertad.
65,whole,algunos,Algunos presos políticos serán puestos en libertad.,Todos los presos políticos serán puestos en libertad.
65,whole,unos,Unos presos políticos serán puestos en libertad.,Todos los presos políticos serán puestos en libertad.
66,sub,algunos,Algunos pepenadores hicieron su agosto.,No todos los pepenadores hicieron su agosto.
66,sub,unos,Unos pepenadores hicieron su agosto.,No todos los pepenadores hicieron su agosto.
66,whole,algunos,Algunos pepenadores hicieron su agosto.,Todos los pepenadores hicieron su agosto.
66,whole,unos,Unos pepenadores hicieron su agosto.,Todos los pepenadores hicieron su agosto.
67,sub,algunos,Algunos analistas así lo estiman.,No todos los analistas así lo estiman.
67,sub,unos,Unos analistas así lo estiman.,No todos los analistas así lo estiman.
67,whole,algunos,Algunos analistas así lo estiman.,Todos los analistas así lo estiman.
67,whole,unos,Unos analistas así lo estiman.,Todos los analistas así lo estiman.
68,sub,algunos,Algunos enfermos requieren hasta de 15 cirugías.,No todos los enfermos requieren hasta de 15 cirugías.
68,sub,unos,Unos enfermos requieren hasta de 15 cirugías.,No todos los enfermos requieren hasta de 15 cirugías.
68,whole,algunos,Algunos enfermos requieren hasta de 15 cirugías.,Todos los enfermos requieren hasta de 15 cirugías.
68,whole,unos,Unos enfermos requieren hasta de 15 cirugías.,Todos los enfermos requieren hasta de 15 cirugías.
69,sub,algunos,Algunos analistas especularon.,No todos los analistas especularon.
69,sub,unos,Unos analistas especularon.,No todos los analistas especularon.
69,whole,algunos,Algunos analistas especularon.,Todos los analistas especularon.
69,whole,unos,Unos analistas especularon.,Todos los analistas especularon.
70,sub,algunos,Algunos lugareños no concilian el sueño.,No todos los lugareños no concilian el sueño.
70,sub,unos,Unos lugareños no concilian el sueño.,No todos los lugareños no concilian el sueño.
70,whole,algunos,Algunos lugareños no concilian el sueño.,Todos los lugareños no concilian el sueño.
70,whole,unos,Unos lugareños no concilian el sueño.,Todos los lugareños no concilian el sueño.
71,sub,algunos,Algunos ministros apoyaron a Chaves.,No todos los ministros apoyaron a Chaves.
71,sub,unos,Unos ministros apoyaron a Chaves.,No todos los ministros apoyaron a Chaves.
71,whole,algunos,Algunos ministros apoyaron a Chaves.,Todos los ministros apoyaron a Chaves.
71,whole,unos,Unos ministros apoyaron a Chaves.,Todos los ministros apoyaron a Chaves.
72,sub,algunos,Algunos críticos gastronómicos deberían animarse.,No todos los críticos gastronómicos deberían animarse.
72,sub,unos,Unos críticos gastronómicos deberían animarse.,No todos los críticos gastronómicos deberían animarse.
72,whole,algunos,Algunos críticos gastronómicos deberían animarse.,Todos los críticos gastronómicos deberían animarse.
72,whole,unos,Unos críticos gastronómicos deberían animarse.,Todos los críticos gastronómicos deberían animarse.
73,sub,algunos,Algunos lesionados fueron rematados.,No todos los lesionados fueron rematados.
73,sub,unos,Unos lesionados fueron rematados.,No todos los lesionados fueron rematados.
73,whole,algunos,Algunos lesionados fueron rematados.,Todos los lesionados fueron rematados.
73,whole,unos,Unos lesionados fueron rematados.,Todos los lesionados fueron rematados.
