item,context,determiner,sentence
7,whole,unos,Cuatro de cuatro hombres nacen póstumos. Unos hombres nacen póstumos.
8,sub,algunos,Tres de cuatro gremios no quieren dialogar. Algunos gremios no quieren dialogar.
8,whole,algunos,Cuatro de cuatro gremios no quieren dialogar. Algunos gremios no quieren dialogar.
8,whole,unos,Cuatro de cuatro gremios no quieren dialogar. Unos gremios no quieren dialogar.
9,sub,algunos,Tres de cuatro ejemplos exponen el cuadro. Algunos ejemplos exponen el cuadro.
9,whole,algunos,Cuatro de cuatro ejemplos exponen el cuadro. Algunos ejemplos exponen el cuadro.
9,whole,unos,Cuatro de cuatro ejemplos exponen el cuadro. Unos ejemplos exponen el cuadro.
10,sub,algunos,Tres de cuatro dispositivos brillan en la oscuridad. Algunos dispositivos brillan en la oscuridad.
10,whole,algunos,Cuatro de cuatro dispositivos brillan en la oscuridad. Algunos dispositivos brillan en la oscuridad.
10,whole,unos,Cuatro de cuatro dispositivos brillan en la oscuridad. Unos dispositivos brillan en la oscuridad.
11,sub,algunos,Tres de cuatro diplomáticos occidentales participaron. Algunos diplomáticos occidentales participaron.
11,whole,algunos,Cuatro de cuatro diplomáticos occidentales participaron. Algunos diplomáticos occidentales participaron.
11,whole,unos,Cuatro de cuatro diplomáticos occidentales participaron. Unos diplomáticos occidentales participaron.
12,sub,algunos,Tres de cuatro ciudadanos suben a mirar más alto. Algunos ciudadanos suben a mirar más alto.
12,whole,algunos,Cuatro de cuatro ciudadanos suben a mirar más alto. Algunos ciudadanos suben a mirar más alto.
12,whole,unos,Cuatro de cuatro ciudadanos suben a mirar más alto. Unos ciudadanos suben a mirar más alto.
13,sub,algunos,Tres de cuatro chicos terminaron lastimados. Algunos chicos terminaron lastimados.
13,whole,algunos,Cuatro de cuatro chicos terminaron lastimados. Algunos chicos terminaron lastimados.
13,whole,unos,Cuatro de cuatro chicos terminaron lastimados. Unos chicos terminaron lastimados.
14,sub,algunos,Tres de cuatro campamentos prometen disciplina militar. Algunos campamentos prometen disciplina militar.
14,whole,algunos,Cuatro de cuatro campamentos prometen disciplina militar. Algunos campamentos prometen disciplina militar.
14,whole,unos,Cuatro de cuatro campamentos prometen disciplina militar. Unos campamentos prometen disciplina militar.
15,sub,algunos,Tres de cuatro agentes de policía resultaron lesionados. Algunos agentes de policía resultaron lesionados.
15,whole,algunos,Cuatro de cuatro agentes de policía resultaron lesionados. Algunos agentes de policía resultaron lesionados.
15,whole,unos,Cuatro de cuatro agentes de policía resultaron lesionados. Unos agentes de policía resultaron lesionados.
16,sub,algunos,Tres de cuatro dirigentes sindicales quieren vivir en el anarquismo. Algunos dirigentes sindicales quieren vivir en el anarquismo.
16,whole,algunos,Cuatro de cuatro dirigentes sindicales quieren vivir en el anarquismo. Algunos dirigentes sindicales quieren vivir en el anarquismo.
16,whole,unos,Cuatro de cuatro dirigentes sindicales quieren vivir en el anarquismo. Unos dirigentes sindicales quieren vivir en el anarquismo.
17,sub,algunos,Tres de cuatro sectores del instituto fueron remodelados. Algunos sectores del instituto fueron remodelados.
17,whole,algunos,Cuatro de cuatro sectores del instituto fueron remodelados. Algunos sectores del instituto fueron remodelados.
17,whole,unos,Cuatro de cuatro sectores del instituto fueron remodelados. Unos sectores del instituto fueron remodelados.
18,sub,algunos,Tres de cuatro políticos dijeron que todos estaban comprados. Algunos políticos dijeron que todos estaban comprados.
18,whole,algunos,Cuatro de cuatro políticos dijeron que todos estaban comprados. Algunos políticos dijeron que todos estaban comprados.
18,whole,unos,Cuatro de cuatro políticos dijeron que todos estaban comprados. Unos políticos dijeron que todos estaban comprados.
19,sub,algunos,Tres de cuatro legisladores han adoptado una postura similar. Algunos legisladores han adoptado una postura similar.
19,whole,algunos,Cuatro de cuatro legisladores han adoptado una postura similar. Algunos legisladores han adoptado una postura similar.
19,whole,unos,Cuatro de cuatro legisladores han adoptado una postura similar. Unos legisladores han adoptado una postura similar.
20,sub,algunos,Tres de cuatro ex jugadores británicos criticaron a Marcelo. Algunos ex jugadores británicos criticaron a Marcelo.
20,whole,algunos,Cuatro de cuatro ex jugadores británicos criticaron a Marcelo. Algunos ex jugadores británicos criticaron a Marcelo.
20,whole,unos,Cuatro de cuatro ex jugadores británicos criticaron a Marcelo. Unos ex jugadores británicos criticaron a Marcelo.
21,sub,algunos,Tres de cuatro establecimientos ofrecen financiar las compras. Algunos establecimientos ofrecen financiar las compras.
21,whole,algunos,Cuatro de cuatro establecimientos ofrecen financiar las compras. Algunos establecimientos ofrecen financiar las compras.
21,whole,unos,Cuatro de cuatro establecimientos ofrecen financiar las compras. Unos establecimientos ofrecen financiar las compras.
22,sub,algunos,Tres de cuatro concejales prefieren seguir tal como están. Algunos concejales prefieren seguir tal como están.
22,whole,algunos,Cuatro de cuatro concejales prefieren seguir tal como están. Algunos concejales prefieren seguir tal como están.
22,whole,unos,Cuatro de cuatro concejales prefieren seguir tal como están. Unos concejales prefieren seguir tal como están.
23,sub,algunos,Tres de cuatro aviones tienen una tecnología prácticamente olímpica Algunos aviones tienen una tecnología prácticamente olímpica
23,whole,algunos,Cuatro de cuatro aviones tienen una tecnología prácticamente olímpica Algunos aviones tienen una tecnología prácticamente olímpica
23,whole,unos,Cuatro de cuatro aviones tienen una tecnología prácticamente olímpica Unos aviones tienen una tecnología prácticamente olímpica
24,sub,algunos,Tres de cuatro agentes cumplen penas de cárcel. Algunos agentes cumplen penas de cárcel.
24,whole,algunos,Cuatro de cuatro agentes cumplen penas de cárcel. Algunos agentes cumplen penas de cárcel.
24,whole,unos,Cuatro de cuatro agentes cumplen penas de cárcel. Unos agentes cumplen penas de cárcel.
25,sub,algunos,Tres de cuatro aficionados evidenciaron su enfado. Algunos aficionados evidenciaron su enfado.
25,whole,algunos,Cuatro de cuatro aficionados evidenciaron su enfado. Algunos aficionados evidenciaron su enfado.
25,whole,unos,Cuatro de cuatro aficionados evidenciaron su enfado. Unos aficionados evidenciaron su enfado.
26,sub,algunos,Tres de cuatro acusados murieron durante el proceso. Algunos acusados murieron durante el proceso.
26,whole,algunos,Cuatro de cuatro acusados murieron durante el proceso. Algunos acusados murieron durante el proceso.
26,whole,unos,Cuatro de cuatro acusados murieron durante el proceso. Unos acusados murieron durante el proceso.
27,sub,algunos,Tres de cuatro trabajadores comienzan la huelga general en Lisboa. Algunos trabajadores comienzan la huelga general en Lisboa.
27,whole,algunos,Cuatro de cuatro trabajadores comienzan la huelga general en Lisboa. Algunos trabajadores comienzan la huelga general en Lisboa.
27,whole,unos,Cuatro de cuatro trabajadores comienzan la huelga general en Lisboa. Unos trabajadores comienzan la huelga general en Lisboa.
28,sub,algunos,Tres de cuatro platos están apilados cuidadosamente en los estantes. Algunos platos están apilados cuidadosamente en los estantes.
28,whole,algunos,Cuatro de cuatro platos están apilados cuidadosamente en los estantes. Algunos platos están apilados cuidadosamente en los estantes.
28,whole,unos,Cuatro de cuatro platos están apilados cuidadosamente en los estantes. Unos platos están apilados cuidadosamente en los estantes.
29,sub,algunos,Tres de cuatro jugadores acudieron a Coapa a recoger pertenencias. Algunos jugadores acudieron a Coapa a recoger pertenencias.
29,whole,algunos,Cuatro de cuatro jugadores acudieron a Coapa a recoger pertenencias. Algunos jugadores acudieron a Coapa a recoger pertenencias.
29,whole,unos,Cuatro de cuatro jugadores acudieron a Coapa a recoger pertenencias. Unos jugadores acudieron a Coapa a recoger pertenencias.
30,sub,algunos,Tres de cuatro hombres sólo queremos ver el mundo arder. Algunos hombres sólo queremos ver el mundo arder.
30,whole,algunos,Cuatro de cuatro hombres sólo queremos ver el mundo arder. Algunos hombres sólo queremos ver el mundo arder.
30,whole,unos,Cuatro de cuatro hombres sólo queremos ver el mundo arder. Unos hombres sólo queremos ver el mundo arder.
31,sub,algunos,Tres de cuatro pisos rojos tienen tapiadas las ventanas. Algunos pisos rojos tienen tapiadas las ventanas.
31,whole,algunos,Cuatro de cuatro pisos rojos tienen tapiadas las ventanas. Algunos pisos rojos tienen tapiadas las ventanas.
31,whole,unos,Cuatro de cuatro pisos rojos tienen tapiadas las ventanas. Unos pisos rojos tienen tapiadas las ventanas.
32,sub,algunos,Tres de cuatro expertos criticaron severamente los experimentos. Algunos expertos criticaron severamente los experimentos.
32,whole,algunos,Cuatro de cuatro expertos criticaron severamente los experimentos. Algunos expertos criticaron severamente los experimentos.
32,whole,unos,Cuatro de cuatro expertos criticaron severamente los experimentos. Unos expertos criticaron severamente los experimentos.
33,sub,algunos,Tres de cuatro deportistas lo tienen claro. Algunos deportistas lo tienen claro.
33,whole,algunos,Cuatro de cuatro deportistas lo tienen claro. Algunos deportistas lo tienen claro.
33,whole,unos,Cuatro de cuatro deportistas lo tienen claro. Unos deportistas lo tienen claro.
34,sub,algunos,Tres de cuatro comentarios dejan mucho que desear. Algunos comentarios dejan mucho que desear.
34,whole,algunos,Cuatro de cuatro comentarios dejan mucho que desear. Algunos comentarios dejan mucho que desear.
34,whole,unos,Cuatro de cuatro comentarios dejan mucho que desear. Unos comentarios dejan mucho que desear.
35,sub,algunos,Tres de cuatro ciudadanos manejan agendas realmente indignadas. Algunos ciudadanos manejan agendas realmente indignadas.
35,whole,algunos,Cuatro de cuatro ciudadanos manejan agendas realmente indignadas. Algunos ciudadanos manejan agendas realmente indignadas.
35,whole,unos,Cuatro de cuatro ciudadanos manejan agendas realmente indignadas. Unos ciudadanos manejan agendas realmente indignadas.
36,sub,algunos,Tres de cuatro apartamentos han quedado calcinados. Algunos apartamentos han quedado calcinados.
36,whole,algunos,Cuatro de cuatro apartamentos han quedado calcinados. Algunos apartamentos han quedado calcinados.
36,whole,unos,Cuatro de cuatro apartamentos han quedado calcinados. Unos apartamentos han quedado calcinados.
37,sub,algunos,Tres de cuatro adolescentes ondeaban banderas nacionales. Algunos adolescentes ondeaban banderas nacionales.
37,whole,algunos,Cuatro de cuatro adolescentes ondeaban banderas nacionales. Algunos adolescentes ondeaban banderas nacionales.
37,whole,unos,Cuatro de cuatro adolescentes ondeaban banderas nacionales. Unos adolescentes ondeaban banderas nacionales.
38,sub,algunos,Tres de cuatro veteranos ven mucho descontrol. Algunos veteranos ven mucho descontrol.
38,whole,algunos,Cuatro de cuatro veteranos ven mucho descontrol. Algunos veteranos ven mucho descontrol.
38,whole,unos,Cuatro de cuatro veteranos ven mucho descontrol. Unos veteranos ven mucho descontrol.
39,sub,algunos,Tres de cuatro soldados hablan de excitación. Algunos soldados hablan de excitación.
39,whole,algunos,Cuatro de cuatro soldados hablan de excitación. Algunos soldados hablan de excitación.
39,whole,unos,Cuatro de cuatro soldados hablan de excitación. Unos soldados hablan de excitación.
40,sub,algunos,Tres de cuatro porteros nos ponían problemas para pasar. Algunos porteros nos ponían problemas para pasar.
40,whole,algunos,Cuatro de cuatro porteros nos ponían problemas para pasar. Algunos porteros nos ponían problemas para pasar.
40,whole,unos,Cuatro de cuatro porteros nos ponían problemas para pasar. Unos porteros nos ponían problemas para pasar.
41,sub,algunos,Tres de cuatro planteles suspendieron las clases. Algunos planteles suspendieron las clases.
41,whole,algunos,Cuatro de cuatro planteles suspendieron las clases. Algunos planteles suspendieron las clases.
41,whole,unos,Cuatro de cuatro planteles suspendieron las clases. Unos planteles suspendieron las clases.
42,sub,algunos,Tres de cuatro pescadores la habitan en verano. Algunos pescadores la habitan en verano.
42,whole,algunos,Cuatro de cuatro pescadores la habitan en verano. Algunos pescadores la habitan en verano.
42,whole,unos,Cuatro de cuatro pescadores la habitan en verano. Unos pescadores la habitan en verano.
43,sub,algunos,Tres de cuatro opositores quieren cantar fraude. Algunos opositores quieren cantar fraude.
43,whole,algunos,Cuatro de cuatro opositores quieren cantar fraude. Algunos opositores quieren cantar fraude.
43,whole,unos,Cuatro de cuatro opositores quieren cantar fraude. Unos opositores quieren cantar fraude.
44,sub,algunos,Tres de cuatro medicamentos pueden tener este efecto secundario. Algunos medicamentos pueden tener este efecto secundario.
44,whole,algunos,Cuatro de cuatro medicamentos pueden tener este efecto secundario. Algunos medicamentos pueden tener este efecto secundario.
44,whole,unos,Cuatro de cuatro medicamentos pueden tener este efecto secundario. Unos medicamentos pueden tener este efecto secundario.
45,sub,algunos,Tres de cuatro jóvenes participaban en esa organización. Algunos jóvenes participaban en esa organización.
45,whole,algunos,Cuatro de cuatro jóvenes participaban en esa organización. Algunos jóvenes participaban en esa organización.
45,whole,unos,Cuatro de cuatro jóvenes participaban en esa organización. Unos jóvenes participaban en esa organización.
46,sub,algunos,Tres de cuatro insectos vienen de visita a casa. Algunos insectos vienen de visita a casa.
46,whole,algunos,Cuatro de cuatro insectos vienen de visita a casa. Algunos insectos vienen de visita a casa.
46,whole,unos,Cuatro de cuatro insectos vienen de visita a casa. Unos insectos vienen de visita a casa.
47,sub,algunos,Tres de cuatro familiares les acompañan en la sesión. Algunos familiares les acompañan en la sesión.
47,whole,algunos,Cuatro de cuatro familiares les acompañan en la sesión. Algunos familiares les acompañan en la sesión.
47,whole,unos,Cuatro de cuatro familiares les acompañan en la sesión. Unos familiares les acompañan en la sesión.
48,sub,algunos,Tres de cuatro edificios suponen un alto peligro. Algunos edificios suponen un alto peligro.
48,whole,algunos,Cuatro de cuatro edificios suponen un alto peligro. Algunos edificios suponen un alto peligro.
48,whole,unos,Cuatro de cuatro edificios suponen un alto peligro. Unos edificios suponen un alto peligro.
49,sub,algunos,Tres de cuatro agujeros han sido tapados. Algunos agujeros han sido tapados.
49,whole,algunos,Cuatro de cuatro agujeros han sido tapados. Algunos agujeros han sido tapados.
49,whole,unos,Cuatro de cuatro agujeros han sido tapados. Unos agujeros han sido tapados.
50,sub,algunos,"Tres de cuatro columnistas lo han descrito como ""corrosivo"". Algunos columnistas lo han descrito como ""corrosivo""."
50,whole,algunos,"Cuatro de cuatro columnistas lo han descrito como ""corrosivo"". Algunos columnistas lo han descrito como ""corrosivo""."
50,whole,unos,"Cuatro de cuatro columnistas lo han descrito como ""corrosivo"". Unos columnistas lo han descrito como ""corrosivo""."
51,sub,algunos,Tres de cuatro coches han pitado. Algunos coches han pitado.
51,whole,algunos,Cuatro de cuatro coches han pitado. Algunos coches han pitado.
51,whole,unos,Cuatro de cuatro coches han pitado. Unos coches han pitado.
52,sub,algunos,Tres de cuatro cadáveres presentaban señales de tortura. Algunos cadáveres presentaban señales de tortura.
52,whole,algunos,Cuatro de cuatro cadáveres presentaban señales de tortura. Algunos cadáveres presentaban señales de tortura.
52,whole,unos,Cuatro de cuatro cadáveres presentaban señales de tortura. Unos cadáveres presentaban señales de tortura.
53,sub,algunos,Tres de cuatro animales tienen una suerte. Algunos animales tienen una suerte.
53,whole,algunos,Cuatro de cuatro animales tienen una suerte. Algunos animales tienen una suerte.
53,whole,unos,Cuatro de cuatro animales tienen una suerte. Unos animales tienen una suerte.
54,sub,algunos,Tres de cuatro francotiradores han entregado sus armas. Algunos francotiradores han entregado sus armas.
54,whole,algunos,Cuatro de cuatro francotiradores han entregado sus armas. Algunos francotiradores han entregado sus armas.
54,whole,unos,Cuatro de cuatro francotiradores han entregado sus armas. Unos francotiradores han entregado sus armas.
55,sub,algunos,Tres de cuatro legisladores salientes han cometido barbaridades. Algunos legisladores salientes han cometido barbaridades.
55,whole,algunos,Cuatro de cuatro legisladores salientes han cometido barbaridades. Algunos legisladores salientes han cometido barbaridades.
55,whole,unos,Cuatro de cuatro legisladores salientes han cometido barbaridades. Unos legisladores salientes han cometido barbaridades.
56,sub,algunos,Tres de cuatro amigos tienen sus sospechas. Algunos amigos tienen sus sospechas.
56,whole,algunos,Cuatro de cuatro amigos tienen sus sospechas. Algunos amigos tienen sus sospechas.
56,whole,unos,Cuatro de cuatro amigos tienen sus sospechas. Unos amigos tienen sus sospechas.
57,sub,algunos,Tres de cuatro ex funcionarios están siendo enjuiciados. Algunos ex funcionarios están siendo enjuiciados.
57,whole,algunos,Cuatro de cuatro ex funcionarios están siendo enjuiciados. Algunos ex funcionarios están siendo enjuiciados.
57,whole,unos,Cuatro de cuatro ex funcionarios están siendo enjuiciados. Unos ex funcionarios están siendo enjuiciados.
58,sub,algunos,Tres de cuatro niños la pasaron mal. Algunos niños la pasaron mal.
58,whole,algunos,Cuatro de cuatro niños la pasaron mal. Algunos niños la pasaron mal.
58,whole,unos,Cuatro de cuatro niños la pasaron mal. Unos niños la pasaron mal.
59,sub,algunos,Tres de cuatro nenes aparecieron con los ojos colgando. Algunos nenes aparecieron con los ojos colgando.
59,whole,algunos,Cuatro de cuatro nenes aparecieron con los ojos colgando. Algunos nenes aparecieron con los ojos colgando.
59,whole,unos,Cuatro de cuatro nenes aparecieron con los ojos colgando. Unos nenes aparecieron con los ojos colgando.
60,sub,algunos,Tres de cuatro académicos comparten este criterio. Algunos académicos comparten este criterio.
60,whole,algunos,Cuatro de cuatro académicos comparten este criterio. Algunos académicos comparten este criterio.
60,whole,unos,Cuatro de cuatro académicos comparten este criterio. Unos académicos comparten este criterio.
61,sub,algunos,Tres de cuatro funcionarios no están de acuerdo. Algunos funcionarios no están de acuerdo.
61,whole,algunos,Cuatro de cuatro funcionarios no están de acuerdo. Algunos funcionarios no están de acuerdo.
61,whole,unos,Cuatro de cuatro funcionarios no están de acuerdo. Unos funcionarios no están de acuerdo.
62,sub,algunos,Tres de cuatro jóvenes enmascarados saquearon varias tiendas. Algunos jóvenes enmascarados saquearon varias tiendas.
62,whole,algunos,Cuatro de cuatro jóvenes enmascarados saquearon varias tiendas. Algunos jóvenes enmascarados saquearon varias tiendas.
62,whole,unos,Cuatro de cuatro jóvenes enmascarados saquearon varias tiendas. Unos jóvenes enmascarados saquearon varias tiendas.
63,sub,algunos,Tres de cuatro amigos en Costa Rica están inquietos. Algunos amigos en Costa Rica están inquietos.
63,whole,algunos,Cuatro de cuatro amigos en Costa Rica están inquietos. Algunos amigos en Costa Rica están inquietos.
63,whole,unos,Cuatro de cuatro amigos en Costa Rica están inquietos. Unos amigos en Costa Rica están inquietos.
64,sub,algunos,Tres de cuatro amigos no ayudaban. Algunos amigos no ayudaban.
64,whole,algunos,Cuatro de cuatro amigos no ayudaban. Algunos amigos no ayudaban.
64,whole,unos,Cuatro de cuatro amigos no ayudaban. Unos amigos no ayudaban.
65,sub,algunos,Tres de cuatro presos políticos serán puestos en libertad. Algunos presos políticos serán puestos en libertad.
65,whole,algunos,Cuatro de cuatro presos políticos serán puestos en libertad. Algunos presos políticos serán puestos en libertad.
65,whole,unos,Cuatro de cuatro presos políticos serán puestos en libertad. Unos presos políticos serán puestos en libertad.
66,sub,algunos,Tres de cuatro pepenadores hicieron su agosto. Algunos pepenadores hicieron su agosto.
66,whole,algunos,Cuatro de cuatro pepenadores hicieron su agosto. Algunos pepenadores hicieron su agosto.
66,whole,unos,Cuatro de cuatro pepenadores hicieron su agosto. Unos pepenadores hicieron su agosto.
67,sub,algunos,Tres de cuatro analistas así lo estiman. Algunos analistas así lo estiman.
67,whole,algunos,Cuatro de cuatro analistas así lo estiman. Algunos analistas así lo estiman.
67,whole,unos,Cuatro de cuatro analistas así lo estiman. Unos analistas así lo estiman.
68,sub,algunos,Tres de cuatro enfermos requieren hasta de 15 cirugías. Algunos enfermos requieren hasta de 15 cirugías.
68,whole,algunos,Cuatro de cuatro enfermos requieren hasta de 15 cirugías. Algunos enfermos requieren hasta de 15 cirugías.
68,whole,unos,Cuatro de cuatro enfermos requieren hasta de 15 cirugías. Unos enfermos requieren hasta de 15 cirugías.
69,sub,algunos,Tres de cuatro analistas especularon. Algunos analistas especularon.
69,whole,algunos,Cuatro de cuatro analistas especularon. Algunos analistas especularon.
69,whole,unos,Cuatro de cuatro analistas especularon. Unos analistas especularon.
70,sub,algunos,Tres de cuatro lugareños no concilian el sueño. Algunos lugareños no concilian el sueño.
70,whole,algunos,Cuatro de cuatro lugareños no concilian el sueño. Algunos lugareños no concilian el sueño.
70,whole,unos,Cuatro de cuatro lugareños no concilian el sueño. Unos lugareños no concilian el sueño.
71,sub,algunos,Tres de cuatro ministros apoyaron a Chaves. Algunos ministros apoyaron a Chaves.
71,whole,algunos,Cuatro de cuatro ministros apoyaron a Chaves. Algunos ministros apoyaron a Chaves.
71,whole,unos,Cuatro de cuatro ministros apoyaron a Chaves. Unos ministros apoyaron a Chaves.
72,sub,algunos,Tres de cuatro críticos gastronómicos deberían animarse. Algunos críticos gastronómicos deberían animarse.
72,whole,algunos,Cuatro de cuatro críticos gastronómicos deberían animarse. Algunos críticos gastronómicos deberían animarse.
72,whole,unos,Cuatro de cuatro críticos gastronómicos deberían animarse. Unos críticos gastronómicos deberían animarse.
73,sub,algunos,Tres de cuatro lesionados fueron rematados. Algunos lesionados fueron rematados.
73,whole,algunos,Cuatro de cuatro lesionados fueron rematados. Algunos lesionados fueron rematados.
73,whole,unos,Cuatro de cuatro lesionados fueron rematados. Unos lesionados fueron rematados.
74,sub,algunos,Tres de cuatro vendedores incluyen sus correos electrónicos. Algunos vendedores incluyen sus correos electrónicos.
74,whole,algunos,Cuatro de cuatro vendedores incluyen sus correos electrónicos. Algunos vendedores incluyen sus correos electrónicos.
74,whole,unos,Cuatro de cuatro vendedores incluyen sus correos electrónicos. Unos vendedores incluyen sus correos electrónicos.
75,sub,algunos,Tres de cuatro científicos hablan de 100.000 barriles diarios. Algunos científicos hablan de 100.000 barriles diarios.
75,whole,algunos,Cuatro de cuatro científicos hablan de 100.000 barriles diarios. Algunos científicos hablan de 100.000 barriles diarios.
75,whole,unos,Cuatro de cuatro científicos hablan de 100.000 barriles diarios. Unos científicos hablan de 100.000 barriles diarios.
76,sub,algunos,Tres de cuatro militares han sido condenados. Algunos militares han sido condenados.
76,whole,algunos,Cuatro de cuatro militares han sido condenados. Algunos militares han sido condenados.
76,whole,unos,Cuatro de cuatro militares han sido condenados. Unos militares han sido condenados.
77,sub,algunos,Tres de cuatro vecinos la acompañan para contenerla. Algunos vecinos la acompañan para contenerla.
77,whole,algunos,Cuatro de cuatro vecinos la acompañan para contenerla. Algunos vecinos la acompañan para contenerla.
77,whole,unos,Cuatro de cuatro vecinos la acompañan para contenerla. Unos vecinos la acompañan para contenerla.
78,sub,algunos,Tres de cuatro futbolistas están en deuda. Algunos futbolistas están en deuda.
78,whole,algunos,Cuatro de cuatro futbolistas están en deuda. Algunos futbolistas están en deuda.
78,whole,unos,Cuatro de cuatro futbolistas están en deuda. Unos futbolistas están en deuda.
79,sub,algunos,Tres de cuatro fotógrafos confiesan su impotencia. Algunos fotógrafos confiesan su impotencia.
79,whole,algunos,Cuatro de cuatro fotógrafos confiesan su impotencia. Algunos fotógrafos confiesan su impotencia.
79,whole,unos,Cuatro de cuatro fotógrafos confiesan su impotencia. Unos fotógrafos confiesan su impotencia.
80,sub,algunos,Tres de cuatro marineros optaron por quedarse. Algunos marineros optaron por quedarse.
80,whole,algunos,Cuatro de cuatro marineros optaron por quedarse. Algunos marineros optaron por quedarse.
80,whole,unos,Cuatro de cuatro marineros optaron por quedarse. Unos marineros optaron por quedarse.
81,sub,algunos,Tres de cuatro artistas invitados iniciaron el concierto. Algunos artistas invitados iniciaron el concierto.
81,whole,algunos,Cuatro de cuatro artistas invitados iniciaron el concierto. Algunos artistas invitados iniciaron el concierto.
81,whole,unos,Cuatro de cuatro artistas invitados iniciaron el concierto. Unos artistas invitados iniciaron el concierto.
82,sub,algunos,Tres de cuatro jueces las han rechazado. Algunos jueces las han rechazado.
82,whole,algunos,Cuatro de cuatro jueces las han rechazado. Algunos jueces las han rechazado.
82,whole,unos,Cuatro de cuatro jueces las han rechazado. Unos jueces las han rechazado.
83,sub,algunos,Tres de cuatro críticos dicen: 'Me he reído mucho.' Algunos críticos dicen: 'Me he reído mucho.'
83,whole,algunos,Cuatro de cuatro críticos dicen: 'Me he reído mucho.' Algunos críticos dicen: 'Me he reído mucho.'
83,whole,unos,Cuatro de cuatro críticos dicen: 'Me he reído mucho.' Unos críticos dicen: 'Me he reído mucho.'
84,sub,algunos,Tres de cuatro juguetes seguían en sus cajas. Algunos juguetes seguían en sus cajas.
84,whole,algunos,Cuatro de cuatro juguetes seguían en sus cajas. Algunos juguetes seguían en sus cajas.
84,whole,unos,Cuatro de cuatro juguetes seguían en sus cajas. Unos juguetes seguían en sus cajas.
85,sub,algunos,Tres de cuatro autores nos ayudan. Algunos autores nos ayudan.
85,whole,algunos,Cuatro de cuatro autores nos ayudan. Algunos autores nos ayudan.
85,whole,unos,Cuatro de cuatro autores nos ayudan. Unos autores nos ayudan.
86,sub,algunos,Tres de cuatro publicistas objetaron la ética del procedimiento. Algunos publicistas objetaron la ética del procedimiento.
86,whole,algunos,Cuatro de cuatro publicistas objetaron la ética del procedimiento. Algunos publicistas objetaron la ética del procedimiento.
86,whole,unos,Cuatro de cuatro publicistas objetaron la ética del procedimiento. Unos publicistas objetaron la ética del procedimiento.
87,sub,algunos,Tres de cuatro jóvenes venden drogas sentados en sillas. Algunos jóvenes venden drogas sentados en sillas.
87,whole,algunos,Cuatro de cuatro jóvenes venden drogas sentados en sillas. Algunos jóvenes venden drogas sentados en sillas.
87,whole,unos,Cuatro de cuatro jóvenes venden drogas sentados en sillas. Unos jóvenes venden drogas sentados en sillas.
88,sub,algunos,Tres de cuatro pacientes duermen. Algunos pacientes duermen.
88,whole,algunos,Cuatro de cuatro pacientes duermen. Algunos pacientes duermen.
88,whole,unos,Cuatro de cuatro pacientes duermen. Unos pacientes duermen.
89,sub,algunos,Tres de cuatro antropólogos les secundan. Algunos antropólogos les secundan.
89,whole,algunos,Cuatro de cuatro antropólogos les secundan. Algunos antropólogos les secundan.
89,whole,unos,Cuatro de cuatro antropólogos les secundan. Unos antropólogos les secundan.
90,sub,algunos,Tres de cuatro analistas dudan de ello. Algunos analistas dudan de ello.
90,whole,algunos,Cuatro de cuatro analistas dudan de ello. Algunos analistas dudan de ello.
