item,context,determiner,sentence
24,sub,algunos,No todos los agentes cumplen penas de cárcel. Algunos agentes cumplen penas de cárcel.
24,whole,algunos,Todos los agentes cumplen penas de cárcel. Algunos agentes cumplen penas de cárcel.
24,whole,unos,Todos los agentes cumplen penas de cárcel. Unos agentes cumplen penas de cárcel.
25,sub,algunos,No todos los aficionados evidenciaron su enfado. Algunos aficionados evidenciaron su enfado.
25,whole,algunos,Todos los aficionados evidenciaron su enfado. Algunos aficionados evidenciaron su enfado.
25,whole,unos,Todos los aficionados evidenciaron su enfado. Unos aficionados evidenciaron su enfado.
26,sub,algunos,No todos los acusados murieron durante el proceso. Algunos acusados murieron durante el proceso.
26,whole,algunos,Todos los acusados murieron durante el proceso. Algunos acusados murieron durante el proceso.
26,whole,unos,Todos los acusados murieron durante el proceso. Unos acusados murieron durante el proceso.
27,sub,algunos,No todos los trabajadores comienzan la huelga general en Lisboa. Algunos trabajadores comienzan la huelga general en Lisboa.
27,whole,algunos,Todos los trabajadores comienzan la huelga general en Lisboa. Algunos trabajadores comienzan la huelga general en Lisboa.
27,whole,unos,Todos los trabajadores comienzan la huelga general en Lisboa. Unos trabajadores comienzan la huelga general en Lisboa.
28,sub,algunos,No todos los platos están apilados cuidadosamente en los estantes. Algunos platos están apilados cuidadosamente en los estantes.
28,whole,algunos,Todos los platos están apilados cuidadosamente en los estantes. Algunos platos están apilados cuidadosamente en los estantes.
28,whole,unos,Todos los platos están apilados cuidadosamente en los estantes. Unos platos están apilados cuidadosamente en los estantes.
29,sub,algunos,No todos los jugadores acudieron a Coapa a recoger pertenencias. Algunos jugadores acudieron a Coapa a recoger pertenencias.
29,whole,algunos,Todos los jugadores acudieron a Coapa a recoger pertenencias. Algunos jugadores acudieron a Coapa a recoger pertenencias.
29,whole,unos,Todos los jugadores acudieron a Coapa a recoger pertenencias. Unos jugadores acudieron a Coapa a recoger pertenencias.
30,sub,algunos,No todos los hombres sólo queremos ver el mundo arder. Algunos hombres sólo queremos ver el mundo arder.
30,whole,algunos,Todos los hombres sólo queremos ver el mundo arder. Algunos hombres sólo queremos ver el mundo arder.
30,whole,unos,Todos los hombres sólo queremos ver el mundo arder. Unos hombres sólo queremos ver el mundo arder.
31,sub,algunos,No todos los pisos rojos tienen tapiadas las ventanas. Algunos pisos rojos tienen tapiadas las ventanas.
31,whole,algunos,Todos los pisos rojos tienen tapiadas las ventanas. Algunos pisos rojos tienen tapiadas las ventanas.
31,whole,unos,Todos los pisos rojos tienen tapiadas las ventanas. Unos pisos rojos tienen tapiadas las ventanas.
32,sub,algunos,No todos los expertos criticaron severamente los experimentos. Algunos expertos criticaron severamente los experimentos.
32,whole,algunos,Todos los expertos criticaron severamente los experimentos. Algunos expertos criticaron severamente los experimentos.
32,whole,unos,Todos los expertos criticaron severamente los experimentos. Unos expertos criticaron severamente los experimentos.
33,sub,algunos,No todos los deportistas lo tienen claro. Algunos deportistas lo tienen claro.
33,whole,algunos,Todos los deportistas lo tienen claro. Algunos deportistas lo tienen claro.
33,whole,unos,Todos los deportistas lo tienen claro. Unos deportistas lo tienen claro.
34,sub,algunos,No todos los comentarios dejan mucho que desear. Algunos comentarios dejan mucho que desear.
34,whole,algunos,Todos los comentarios dejan mucho que desear. Algunos comentarios dejan mucho que desear.
34,whole,unos,Todos los comentarios dejan mucho que desear. Unos comentarios dejan mucho que desear.
35,sub,algunos,No todos los ciudadanos manejan agendas realmente indignadas. Algunos ciudadanos manejan agendas realmente indignadas.
35,whole,algunos,Todos los ciudadanos manejan agendas realmente indignadas. Algunos ciudadanos manejan agendas realmente indignadas.
35,whole,unos,Todos los ciudadanos manejan agendas realmente indignadas. Unos ciudadanos manejan agendas realmente indignadas.
36,sub,algunos,No todos los apartamentos han quedado calcinados. Algunos apartamentos han quedado calcinados.
36,whole,algunos,Todos los apartamentos han quedado calcinados. Algunos apartamentos han quedado calcinados.
36,whole,unos,Todos los apartamentos han quedado calcinados. Unos apartamentos han quedado calcinados.
37,sub,algunos,No todos los adolescentes ondeaban banderas nacionales. Algunos adolescentes ondeaban banderas nacionales.
37,whole,algunos,Todos los adolescentes ondeaban banderas nacionales. Algunos adolescentes ondeaban banderas nacionales.
37,whole,unos,Todos los adolescentes ondeaban banderas nacionales. Unos adolescentes ondeaban banderas nacionales.
38,sub,algunos,No todos los veteranos ven mucho descontrol. Algunos veteranos ven mucho descontrol.
38,whole,algunos,Todos los veteranos ven mucho descontrol. Algunos veteranos ven mucho descontrol.
38,whole,unos,Todos los veteranos ven mucho descontrol. Unos veteranos ven mucho descontrol.
39,sub,algunos,No todos los soldados hablan de excitación. Algunos soldados hablan de excitación.
39,whole,algunos,Todos los soldados hablan de excitación. Algunos soldados hablan de excitación.
39,whole,unos,Todos los soldados hablan de excitación. Unos soldados hablan de excitación.
40,sub,algunos,No todos los porteros nos ponían problemas para pasar. Algunos porteros nos ponían problemas para pasar.
40,whole,algunos,Todos los porteros nos ponían problemas para pasar. Algunos porteros nos ponían problemas para pasar.
40,whole,unos,Todos los porteros nos ponían problemas para pasar. Unos porteros nos ponían problemas para pasar.
41,sub,algunos,No todos los planteles suspendieron las clases. Algunos planteles suspendieron las clases.
41,whole,algunos,Todos los planteles suspendieron las clases. Algunos planteles suspendieron las clases.
41,whole,unos,Todos los planteles suspendieron las clases. Unos planteles suspendieron las clases.
42,sub,algunos,No todos los pescadores la habitan en verano. Algunos pescadores la habitan en verano.
42,whole,algunos,Todos los pescadores la habitan en verano. Algunos pescadores la habitan en verano.
42,whole,unos,Todos los pescadores la habitan en verano. Unos pescadores la habitan en verano.
43,sub,algunos,No todos los opositores quieren cantar fraude. Algunos opositores quieren cantar fraude.
43,whole,algunos,Todos los opositores quieren cantar fraude. Algunos opositores quieren cantar fraude.
43,whole,unos,Todos los opositores quieren cantar fraude. Unos opositores quieren cantar fraude.
44,sub,algunos,No todos los medicamentos pueden tener este efecto secundario. Algunos medicamentos pueden tener este efecto secundario.
44,whole,algunos,Todos los medicamentos pueden tener este efecto secundario. Algunos medicamentos pueden tener este efecto secundario.
44,whole,unos,Todos los medicamentos pueden tener este efecto secundario. Unos medicamentos pueden tener este efecto secundario.
45,sub,algunos,No todos los jóvenes participaban en esa organización. Algunos jóvenes participaban en esa organización.
45,whole,algunos,Todos los jóvenes participaban en esa organización. Algunos jóvenes participaban en esa organización.
45,whole,unos,Todos los jóvenes participaban en esa organización. Unos jóvenes participaban en esa organización.
46,sub,algunos,No todos los insectos vienen de visita a casa. Algunos insectos vienen de visita a casa.
46,whole,algunos,Todos los insectos vienen de visita a casa. Algunos insectos vienen de visita a casa.
46,whole,unos,Todos los insectos vienen de visita a casa. Unos insectos vienen de visita a casa.
47,sub,algunos,No todos los familiares les acompañan en la sesión. Algunos familiares les acompañan en la sesión.
47,whole,algunos,Todos los familiares les acompañan en la sesión. Algunos familiares les acompañan en la sesión.
47,whole,unos,Todos los familiares les acompañan en la sesión. Unos familiares les acompañan en la sesión.
48,sub,algunos,No todos los edificios suponen un alto peligro. Algunos edificios suponen un alto peligro.
48,whole,algunos,Todos los edificios suponen un alto peligro. Algunos edificios suponen un alto peligro.
48,whole,unos,Todos los edificios suponen un alto peligro. Unos edificios suponen un alto peligro.
49,sub,algunos,No todos los agujeros han sido tapados. Algunos agujeros han sido tapados.
49,whole,algunos,Todos los agujeros han sido tapados. Algunos agujeros han sido tapados.
49,whole,unos,Todos los agujeros han sido tapados. Unos agujeros han sido tapados.
50,sub,algunos,"No todos los columnistas lo han descrito como ""corrosivo"". Algunos columnistas lo han descrito como ""corrosivo""."
50,whole,algunos,"Todos los columnistas lo han descrito como ""corrosivo"". Algunos columnistas lo han descrito como ""corrosivo""."
50,whole,unos,"Todos los columnistas lo han descrito como ""corrosivo"". Unos columnistas lo han descrito como ""corrosivo""."
51,sub,algunos,No todos los coches han pitado. Algunos coches han pitado.
51,whole,algunos,Todos los coches han pitado. Algunos coches han pitado.
51,whole,unos,Todos los coches han pitado. Unos coches han pitado.
52,sub,algunos,No todos los cadáveres presentaban señales de tortura. Algunos cadáveres presentaban señales de tortura.
52,whole,algunos,Todos los cadáveres presentaban señales de tortura. Algunos cadáveres presentaban señales de tortura.
52,whole,unos,Todos los cadáveres presentaban señales de tortura. Unos cadáveres presentaban señales de tortura.
53,sub,algunos,No todos los animales tienen una suerte. Algunos animales tienen una suerte.
53,whole,algunos,Todos los animales tienen una suerte. Algunos animales tienen una suerte.
53,whole,unos,Todos los animales tienen una suerte. Unos animales tienen una suerte.
54,sub,algunos,No todos los francotiradores han entregado sus armas. Algunos francotiradores han entregado sus armas.
54,whole,algunos,Todos los francotiradores han entregado sus armas. Algunos francotiradores han entregado sus armas.
54,whole,unos,Todos los francotiradores han entregado sus armas. Unos francotiradores han entregado sus armas.
55,sub,algunos,No todos los legisladores salientes han cometido barbaridades. Algunos legisladores salientes han cometido barbaridades.
55,whole,algunos,Todos los legisladores salientes han cometido barbaridades. Algunos legisladores salientes han cometido barbaridades.
55,whole,unos,Todos los legisladores salientes han cometido barbaridades. Unos legisladores salientes han cometido barbaridades.
56,sub,algunos,No todos los amigos tienen sus sospechas. Algunos amigos tienen sus sospechas.
56,whole,algunos,Todos los amigos tienen sus sospechas. Algunos amigos tienen sus sospechas.
56,whole,unos,Todos los amigos tienen sus sospechas. Unos amigos tienen sus sospechas.
57,sub,algunos,No todos los ex funcionarios están siendo enjuiciados. Algunos ex funcionarios están siendo enjuiciados.
57,whole,algunos,Todos los ex funcionarios están siendo enjuiciados. Algunos ex funcionarios están siendo enjuiciados.
57,whole,unos,Todos los ex funcionarios están siendo enjuiciados. Unos ex funcionarios están siendo enjuiciados.
58,sub,algunos,No todos los niños la pasaron mal. Algunos niños la pasaron mal.
58,whole,algunos,Todos los niños la pasaron mal. Algunos niños la pasaron mal.
58,whole,unos,Todos los niños la pasaron mal. Unos niños la pasaron mal.
59,sub,algunos,No todos los nenes aparecieron con los ojos colgando. Algunos nenes aparecieron con los ojos colgando.
59,whole,algunos,Todos los nenes aparecieron con los ojos colgando. Algunos nenes aparecieron con los ojos colgando.
59,whole,unos,Todos los nenes aparecieron con los ojos colgando. Unos nenes aparecieron con los ojos colgando.
60,sub,algunos,No todos los académicos comparten este criterio. Algunos académicos comparten este criterio.
60,whole,algunos,Todos los académicos comparten este criterio. Algunos académicos comparten este criterio.
60,whole,unos,Todos los académicos comparten este criterio. Unos académicos comparten este criterio.
61,sub,algunos,No todos los funcionarios no están de acuerdo. Algunos funcionarios no están de acuerdo.
61,whole,algunos,Todos los funcionarios no están de acuerdo. Algunos funcionarios no están de acuerdo.
61,whole,unos,Todos los funcionarios no están de acuerdo. Unos funcionarios no están de acuerdo.
62,sub,algunos,No todos los jóvenes enmascarados saquearon varias tiendas. Algunos jóvenes enmascarados saquearon varias tiendas.
62,whole,algunos,Todos los jóvenes enmascarados saquearon varias tiendas. Algunos jóvenes enmascarados saquearon varias tiendas.
62,whole,unos,Todos los jóvenes enmascarados saquearon varias tiendas. Unos jóvenes enmascarados saquearon varias tiendas.
63,sub,algunos,No todos los amigos en Costa Rica están inquietos. Algunos amigos en Costa Rica están inquietos.
63,whole,algunos,Todos los amigos en Costa Rica están inquietos. Algunos amigos en Costa Rica están inquietos.
63,whole,unos,Todos los amigos en Costa Rica están inquietos. Unos amigos en Costa Rica están inquietos.
64,sub,algunos,No todos los amigos no ayudaban. Algunos amigos no ayudaban.
64,whole,algunos,Todos los amigos no ayudaban. Algunos amigos no ayudaban.
64,whole,unos,Todos los amigos no ayudaban. Unos amigos no ayudaban.
65,sub,algunos,No todos los presos políticos serán puestos en libertad. Algunos presos políticos serán puestos en libertad.
65,whole,algunos,Todos los presos políticos serán puestos en libertad. Algunos presos políticos serán puestos en libertad.
65,whole,unos,Todos los presos políticos serán puestos en libertad. Unos presos políticos serán puestos en libertad.
66,sub,algunos,No todos los pepenadores hicieron su agosto. Algunos pepenadores hicieron su agosto.
66,whole,algunos,Todos los pepenadores hicieron su agosto. Algunos pepenadores hicieron su agosto.
66,whole,unos,Todos los pepenadores hicieron su agosto. Unos pepenadores hicieron su agosto.
67,sub,algunos,No todos los analistas así lo estiman. Algunos analistas así lo estiman.
67,whole,algunos,Todos los analistas así lo estiman. Algunos analistas así lo estiman.
67,whole,unos,Todos los analistas así lo estiman. Unos analistas así lo estiman.
68,sub,algunos,No todos los enfermos requieren hasta de 15 cirugías. Algunos enfermos requieren hasta de 15 cirugías.
68,whole,algunos,Todos los enfermos requieren hasta de 15 cirugías. Algunos enfermos requieren hasta de 15 cirugías.
68,whole,unos,Todos los enfermos requieren hasta de 15 cirugías. Unos enfermos requieren hasta de 15 cirugías.
69,sub,algunos,No todos los analistas especularon. Algunos analistas especularon.
69,whole,algunos,Todos los analistas especularon. Algunos analistas especularon.
69,whole,unos,Todos los analistas especularon. Unos analistas especularon.
70,sub,algunos,No todos los lugareños no concilian el sueño. Algunos lugareños no concilian el sueño.
70,whole,algunos,Todos los lugareños no concilian el sueño. Algunos lugareños no concilian el sueño.
70,whole,unos,Todos los lugareños no concilian el sueño. Unos lugareños no concilian el sueño.
71,sub,algunos,No todos los ministros apoyaron a Chaves. Algunos ministros apoyaron a Chaves.
71,whole,algunos,Todos los ministros apoyaron a Chaves. Algunos ministros apoyaron a Chaves.
71,whole,unos,Todos los ministros apoyaron a Chaves. Unos ministros apoyaron a Chaves.
72,sub,algunos,No todos los críticos gastronómicos deberían animarse. Algunos críticos gastronómicos deberían animarse.
72,whole,algunos,Todos los críticos gastronómicos deberían animarse. Algunos críticos gastronómicos deberían animarse.
72,whole,unos,Todos los críticos gastronómicos deberían animarse. Unos críticos gastronómicos deberían animarse.
73,sub,algunos,No todos los lesionados fueron rematados. Algunos lesionados fueron rematados.
73,whole,algunos,Todos los lesionados fueron rematados. Algunos lesionados fueron rematados.
73,whole,unos,Todos los lesionados fueron rematados. Unos lesionados fueron rematados.
74,sub,algunos,No todos los vendedores incluyen sus correos electrónicos. Algunos vendedores incluyen sus correos electrónicos.
74,whole,algunos,Todos los vendedores incluyen sus correos electrónicos. Algunos vendedores incluyen sus correos electrónicos.
74,whole,unos,Todos los vendedores incluyen sus correos electrónicos. Unos vendedores incluyen sus correos electrónicos.
75,sub,algunos,No todos los científicos hablan de 100.000 barriles diarios. Algunos científicos hablan de 100.000 barriles diarios.
75,whole,algunos,Todos los científicos hablan de 100.000 barriles diarios. Algunos científicos hablan de 100.000 barriles diarios.
75,whole,unos,Todos los científicos hablan de 100.000 barriles diarios. Unos científicos hablan de 100.000 barriles diarios.
76,sub,algunos,No todos los militares han sido condenados. Algunos militares han sido condenados.
76,whole,algunos,Todos los militares han sido condenados. Algunos militares han sido condenados.
76,whole,unos,Todos los militares han sido condenados. Unos militares han sido condenados.
77,sub,algunos,No todos los vecinos la acompañan para contenerla. Algunos vecinos la acompañan para contenerla.
77,whole,algunos,Todos los vecinos la acompañan para contenerla. Algunos vecinos la acompañan para contenerla.
77,whole,unos,Todos los vecinos la acompañan para contenerla. Unos vecinos la acompañan para contenerla.
78,sub,algunos,No todos los futbolistas están en deuda. Algunos futbolistas están en deuda.
78,whole,algunos,Todos los futbolistas están en deuda. Algunos futbolistas están en deuda.
78,whole,unos,Todos los futbolistas están en deuda. Unos futbolistas están en deuda.
79,sub,algunos,No todos los fotógrafos confiesan su impotencia. Algunos fotógrafos confiesan su impotencia.
79,whole,algunos,Todos los fotógrafos confiesan su impotencia. Algunos fotógrafos confiesan su impotencia.
79,whole,unos,Todos los fotógrafos confiesan su impotencia. Unos fotógrafos confiesan su impotencia.
80,sub,algunos,No todos los marineros optaron por quedarse. Algunos marineros optaron por quedarse.
80,whole,algunos,Todos los marineros optaron por quedarse. Algunos marineros optaron por quedarse.
80,whole,unos,Todos los marineros optaron por quedarse. Unos marineros optaron por quedarse.
81,sub,algunos,No todos los artistas invitados iniciaron el concierto. Algunos artistas invitados iniciaron el concierto.
81,whole,algunos,Todos los artistas invitados iniciaron el concierto. Algunos artistas invitados iniciaron el concierto.
81,whole,unos,Todos los artistas invitados iniciaron el concierto. Unos artistas invitados iniciaron el concierto.
82,sub,algunos,No todos los jueces las han rechazado. Algunos jueces las han rechazado.
82,whole,algunos,Todos los jueces las han rechazado. Algunos jueces las han rechazado.
82,whole,unos,Todos los jueces las han rechazado. Unos jueces las han rechazado.
83,sub,algunos,No todos los críticos dicen: 'Me he reído mucho.' Algunos críticos dicen: 'Me he reído mucho.'
83,whole,algunos,Todos los críticos dicen: 'Me he reído mucho.' Algunos críticos dicen: 'Me he reído mucho.'
83,whole,unos,Todos los críticos dicen: 'Me he reído mucho.' Unos críticos dicen: 'Me he reído mucho.'
84,sub,algunos,No todos los juguetes seguían en sus cajas. Algunos juguetes seguían en sus cajas.
84,whole,algunos,Todos los juguetes seguían en sus cajas. Algunos juguetes seguían en sus cajas.
84,whole,unos,Todos los juguetes seguían en sus cajas. Unos juguetes seguían en sus cajas.
85,sub,algunos,No todos los autores nos ayudan. Algunos autores nos ayudan.
85,whole,algunos,Todos los autores nos ayudan. Algunos autores nos ayudan.
85,whole,unos,Todos los autores nos ayudan. Unos autores nos ayudan.
86,sub,algunos,No todos los publicistas objetaron la ética del procedimiento. Algunos publicistas objetaron la ética del procedimiento.
86,whole,algunos,Todos los publicistas objetaron la ética del procedimiento. Algunos publicistas objetaron la ética del procedimiento.
86,whole,unos,Todos los publicistas objetaron la ética del procedimiento. Unos publicistas objetaron la ética del procedimiento.
87,sub,algunos,No todos los jóvenes venden drogas sentados en sillas. Algunos jóvenes venden drogas sentados en sillas.
87,whole,algunos,Todos los jóvenes venden drogas sentados en sillas. Algunos jóvenes venden drogas sentados en sillas.
87,whole,unos,Todos los jóvenes venden drogas sentados en sillas. Unos jóvenes venden drogas sentados en sillas.
88,sub,algunos,No todos los pacientes duermen. Algunos pacientes duermen.
88,whole,algunos,Todos los pacientes duermen. Algunos pacientes duermen.
88,whole,unos,Todos los pacientes duermen. Unos pacientes duermen.
89,sub,algunos,No todos los antropólogos les secundan. Algunos antropólogos les secundan.
89,whole,algunos,Todos los antropólogos les secundan. Algunos antropólogos les secundan.
89,whole,unos,Todos los antropólogos les secundan. Unos antropólogos les secundan.
90,sub,algunos,No todos los analistas dudan de ello. Algunos analistas dudan de ello.
90,whole,algunos,Todos los analistas dudan de ello. Algunos analistas dudan de ello.
90,whole,unos,Todos los analistas dudan de ello. Unos analistas dudan de ello.
91,sub,algunos,No todos los expertos han aumentado esa crítica negativa. Algunos expertos han aumentado esa crítica negativa.
91,whole,algunos,Todos los expertos han aumentado esa crítica negativa. Algunos expertos han aumentado esa crítica negativa.
91,whole,unos,Todos los expertos han aumentado esa crítica negativa. Unos expertos han aumentado esa crítica negativa.
92,sub,algunos,No todos los hombres me llamaban traidor. Algunos hombres me llamaban traidor.
92,whole,algunos,Todos los hombres me llamaban traidor. Algunos hombres me llamaban traidor.
92,whole,unos,Todos los hombres me llamaban traidor. Unos hombres me llamaban traidor.
93,sub,algunos,No todos los empresarios hacían ayer una broma. Algunos empresarios hacían ayer una broma.
93,whole,algunos,Todos los empresarios hacían ayer una broma. Algunos empresarios hacían ayer una broma.
93,whole,unos,Todos los empresarios hacían ayer una broma. Unos empresarios hacían ayer una broma.
94,sub,algunos,No todos los doctores poseen ese extraño sentido. Algunos doctores poseen ese extraño sentido.
94,whole,algunos,Todos los doctores poseen ese extraño sentido. Algunos doctores poseen ese extraño sentido.
94,whole,unos,Todos los doctores poseen ese extraño sentido. Unos doctores poseen ese extraño sentido.
95,sub,algunos,No todos los jueces no concuerdan. Algunos jueces no concuerdan.
95,whole,algunos,Todos los jueces no concuerdan. Algunos jueces no concuerdan.
95,whole,unos,Todos los jueces no concuerdan. Unos jueces no concuerdan.
96,sub,algunos,No todos los científicos discrepan con esa evaluación. Algunos científicos discrepan con esa evaluación.
96,whole,algunos,Todos los científicos discrepan con esa evaluación. Algunos científicos discrepan con esa evaluación.
96,whole,unos,Todos los científicos discrepan con esa evaluación. Unos científicos discrepan con esa evaluación.
97,sub,algunos,No todos los familiares las esperan. Algunos familiares las esperan.
97,whole,algunos,Todos los familiares las esperan. Algunos familiares las esperan.
97,whole,unos,Todos los familiares las esperan. Unos familiares las esperan.
98,sub,algunos,No todos los estadounidenses contemplan también esa protección. Algunos estadounidenses contemplan también esa protección.
98,whole,algunos,Todos los estadounidenses contemplan también esa protección. Algunos estadounidenses contemplan también esa protección.
98,whole,unos,Todos los estadounidenses contemplan también esa protección. Unos estadounidenses contemplan también esa protección.
99,sub,algunos,No todos los asistentes aplaudieron. Algunos asistentes aplaudieron.
99,whole,algunos,Todos los asistentes aplaudieron. Algunos asistentes aplaudieron.
99,whole,unos,Todos los asistentes aplaudieron. Unos asistentes aplaudieron.
100,sub,algunos,No todos los residentes parecían decididos a quedarse. Algunos residentes parecían decididos a quedarse.
100,whole,algunos,Todos los residentes parecían decididos a quedarse. Algunos residentes parecían decididos a quedarse.
100,whole,unos,Todos los residentes parecían decididos a quedarse. Unos residentes parecían decididos a quedarse.
101,sub,algunos,No todos los analistas habían estimado una pérdida trimestral. Algunos analistas habían estimado una pérdida trimestral.
